starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
1004874064,42.0,Saccade,1,0.66486,NaN,NaN,939.00,534.00,726.00,530.00
1004915731,115.0,Fixation,1,0.66443,726.00,524.00,NaN,NaN,NaN,NaN
1005030732,47.0,Saccade,2,0.66645,NaN,NaN,726.00,525.00,416.00,530.00
1005077400,147.0,Fixation,2,0.66555,416.00,527.00,NaN,NaN,NaN,NaN
1005224067,15.0,Saccade,3,0.66838,NaN,NaN,411.00,528.00,372.00,536.00
1005239067,143.0,Fixation,3,0.67319,376.00,535.00,NaN,NaN,NaN,NaN
1005382403,30.0,Saccade,4,0.68151,NaN,NaN,379.00,533.00,507.00,540.00
1005412403,170.0,Fixation,4,0.68829,515.00,542.00,NaN,NaN,NaN,NaN
1005582405,35.0,Saccade,5,0.69301,NaN,NaN,516.00,544.00,671.00,542.00
1005617405,148.0,Fixation,5,0.69661,672.00,540.00,NaN,NaN,NaN,NaN
1005765740,27.0,Saccade,6,0.70193,NaN,NaN,671.00,544.00,766.00,542.00
1005792407,168.0,Fixation,6,0.70677,764.00,542.00,NaN,NaN,NaN,NaN
1005960742,32.0,Saccade,7,0.71259,NaN,NaN,764.00,543.00,896.00,536.00
1005992409,207.0,Fixation,7,0.71676,896.00,538.00,NaN,NaN,NaN,NaN
1006199077,53.0,Saccade,8,0.72069,NaN,NaN,898.00,540.00,916.00,234.00
1006252411,500.0,Fixation,8,0.72603,916.00,240.00,NaN,NaN,NaN,NaN
1006752416,53.0,Saccade,9,0.73971,NaN,NaN,922.00,240.00,700.00,574.00
1006805750,173.0,Fixation,9,0.73856,700.00,576.00,NaN,NaN,NaN,NaN
1006979084,23.0,Saccade,10,0.73846,NaN,NaN,701.00,578.00,620.00,600.00
1007002419,138.0,Fixation,10,0.73286,622.00,600.00,NaN,NaN,NaN,NaN
1007140753,37.0,Saccade,11,0.72747,NaN,NaN,619.00,602.00,426.00,604.00
1007177420,173.0,Fixation,11,0.72572,423.00,603.00,NaN,NaN,NaN,NaN
1007350755,15.0,Saccade,12,0.72711,NaN,NaN,422.00,606.00,379.00,604.00
1007365755,190.0,Fixation,12,0.72813,385.00,601.00,NaN,NaN,NaN,NaN
1007555757,30.0,Saccade,13,0.73094,NaN,NaN,386.00,599.00,524.00,600.00
1007585757,187.0,Fixation,13,0.73159,525.00,599.00,NaN,NaN,NaN,NaN
1007772426,35.0,Saccade,14,0.73112,NaN,NaN,524.00,597.00,716.00,596.00
1007807427,172.0,Fixation,14,0.73109,724.00,594.00,NaN,NaN,NaN,NaN
1007979094,32.0,Saccade,15,0.73352,NaN,NaN,726.00,592.00,874.00,593.00
1008010762,238.0,Fixation,15,0.73115,877.00,595.00,NaN,NaN,NaN,NaN
1008249097,25.0,Saccade,16,0.72882,NaN,NaN,878.00,598.00,996.00,600.00
1008274097,243.0,Fixation,16,0.72604,991.00,599.00,NaN,NaN,NaN,NaN
1008517433,37.0,Saccade,17,0.72450,NaN,NaN,992.00,598.00,1180.00,599.00
1008554100,223.0,Fixation,17,0.72797,1178.00,597.00,NaN,NaN,NaN,NaN
1008777425,32.0,Saccade,18,0.72801,NaN,NaN,1180.00,597.00,1302.00,598.00
1008809091,170.0,Fixation,18,0.72728,1298.00,597.00,NaN,NaN,NaN,NaN
1008979093,32.0,Saccade,19,0.72378,NaN,NaN,1298.00,596.00,1428.00,603.00
1009010760,187.0,Fixation,19,0.71665,1432.00,604.00,NaN,NaN,NaN,NaN
1009197429,17.0,Saccade,20,0.71347,NaN,NaN,1434.00,600.00,1484.00,610.00
1009214095,240.0,Fixation,20,0.71046,1473.00,608.00,NaN,NaN,NaN,NaN
1009454098,57.0,Saccade,21,0.70730,NaN,NaN,1472.00,608.00,750.00,568.00
1009517432,28.0,Saccade,22,0.69286,NaN,NaN,645.00,562.00,422.00,576.00
1009552433,12.0,Saccade,23,0.68758,NaN,NaN,434.00,584.00,427.00,576.00
1009564099,138.0,Fixation,21,0.69893,428.00,556.00,NaN,NaN,NaN,NaN
1009700767,20.0,Saccade,24,0.69973,NaN,NaN,427.00,552.00,350.00,548.00
1009722434,168.0,Fixation,22,0.69550,369.00,548.00,NaN,NaN,NaN,NaN
1009889102,42.0,Saccade,25,0.69856,NaN,NaN,368.00,545.00,644.00,544.00
1009930769,152.0,Fixation,23,0.69795,650.00,543.00,NaN,NaN,NaN,NaN
1010082438,27.0,Saccade,26,0.69520,NaN,NaN,656.00,545.00,765.00,542.00
1010109104,158.0,Fixation,24,0.69321,762.00,541.00,NaN,NaN,NaN,NaN
1010267440,35.0,Saccade,27,0.69090,NaN,NaN,761.00,542.00,910.00,539.00
1010302440,157.0,Fixation,25,0.68886,911.00,537.00,NaN,NaN,NaN,NaN
1010459108,13.0,Saccade,28,0.68747,NaN,NaN,912.00,535.00,944.00,538.00
1010472442,210.0,Fixation,26,0.68810,939.00,535.00,NaN,NaN,NaN,NaN
1010682445,22.0,Saccade,29,0.68853,NaN,NaN,938.00,535.00,874.00,540.00
1010704111,143.0,Fixation,27,0.68894,878.00,538.00,NaN,NaN,NaN,NaN
1010847446,45.0,Saccade,30,0.69250,NaN,NaN,876.00,540.00,528.00,598.00
1010892447,110.0,Fixation,28,0.69417,528.00,595.00,NaN,NaN,NaN,NaN
1011002448,32.0,Saccade,31,0.69824,NaN,NaN,527.00,595.00,371.00,600.00
1011034114,207.0,Fixation,29,0.69764,369.00,602.00,NaN,NaN,NaN,NaN
1011240783,38.0,Saccade,32,0.69678,NaN,NaN,368.00,601.00,572.00,598.00
1011279116,158.0,Fixation,30,0.69522,576.00,597.00,NaN,NaN,NaN,NaN
1011437452,38.0,Saccade,33,0.69592,NaN,NaN,576.00,600.00,776.00,595.00
1011475785,143.0,Fixation,31,0.69262,775.00,593.00,NaN,NaN,NaN,NaN
1011619120,23.0,Saccade,34,0.68878,NaN,NaN,774.00,594.00,852.00,597.00
1011642454,128.0,Fixation,32,0.68542,852.00,594.00,NaN,NaN,NaN,NaN
1011770788,32.0,Saccade,35,0.68325,NaN,NaN,852.00,592.00,983.00,594.00
1011802455,185.0,Fixation,33,0.67988,986.00,593.00,NaN,NaN,NaN,NaN
1011987457,27.0,Saccade,36,0.67750,NaN,NaN,984.00,597.00,1172.00,592.00
1012015791,205.0,Fixation,34,0.68080,1220.00,597.00,NaN,NaN,NaN,NaN
1012220794,38.0,Saccade,37,0.68007,NaN,NaN,1222.00,596.00,1422.00,599.00
1012259127,265.0,Fixation,35,0.67520,1420.00,600.00,NaN,NaN,NaN,NaN
1012524130,13.0,Saccade,38,0.67338,NaN,NaN,1422.00,604.00,1449.00,607.00
1012537464,68.0,Fixation,36,0.67336,1447.00,604.00,NaN,NaN,NaN,NaN
1012605797,47.0,Saccade,39,0.67658,NaN,NaN,1446.00,606.00,753.00,617.00
1012655798,32.0,Saccade,40,0.67389,NaN,NaN,678.00,616.00,408.00,638.00
1012687465,212.0,Fixation,37,0.67212,400.00,640.00,NaN,NaN,NaN,NaN
1012899133,40.0,Saccade,41,0.67145,NaN,NaN,399.00,640.00,639.00,632.00
1012939134,205.0,Fixation,38,0.67647,642.00,628.00,NaN,NaN,NaN,NaN
1013144136,23.0,Saccade,42,0.68344,NaN,NaN,644.00,627.00,566.00,634.00
1013167470,180.0,Fixation,39,0.68807,570.00,637.00,NaN,NaN,NaN,NaN
1013347472,37.0,Saccade,43,0.69429,NaN,NaN,568.00,634.00,354.00,648.00
1013384138,168.0,Fixation,40,0.69396,357.00,644.00,NaN,NaN,NaN,NaN
1013552474,8.0,Saccade,44,0.69502,NaN,NaN,356.00,645.00,341.00,645.00
1013560807,153.0,Fixation,41,0.69564,336.00,645.00,NaN,NaN,NaN,NaN
1013714130,23.0,Saccade,45,0.69901,NaN,NaN,336.00,646.00,417.00,642.00
1013737465,185.0,Fixation,42,0.70085,416.00,641.00,NaN,NaN,NaN,NaN
1013922467,27.0,Saccade,46,0.70365,NaN,NaN,416.00,642.00,500.00,641.00
1013949133,138.0,Fixation,43,0.70493,509.00,637.00,NaN,NaN,NaN,NaN
1014087469,42.0,Saccade,47,0.70690,NaN,NaN,508.00,638.00,784.00,637.00
1014129135,227.0,Fixation,44,0.70279,785.00,634.00,NaN,NaN,NaN,NaN
1014355804,33.0,Saccade,48,0.70050,NaN,NaN,786.00,632.00,958.00,631.00
1014389138,230.0,Fixation,45,0.69498,961.00,634.00,NaN,NaN,NaN,NaN
1014619140,33.0,Saccade,49,0.68953,NaN,NaN,960.00,634.00,1094.00,632.00
1014652474,205.0,Fixation,46,0.68726,1099.00,633.00,NaN,NaN,NaN,NaN
1014857476,38.0,Saccade,50,0.68775,NaN,NaN,1101.00,634.00,1299.00,642.00
1014895810,200.0,Fixation,47,0.68609,1300.00,641.00,NaN,NaN,NaN,NaN
1015095812,33.0,Saccade,51,0.68456,NaN,NaN,1300.00,640.00,1456.00,645.00
1015129145,218.0,Fixation,48,0.68432,1452.00,646.00,NaN,NaN,NaN,NaN
1015347481,25.0,Saccade,52,0.68583,NaN,NaN,1450.00,648.00,1547.00,644.00
1015372481,148.0,Fixation,49,0.68571,1544.00,646.00,NaN,NaN,NaN,NaN
1015520816,53.0,Saccade,53,0.68851,NaN,NaN,1543.00,644.00,754.00,642.00
1015575816,28.0,Saccade,54,0.68529,NaN,NaN,702.00,648.00,455.00,671.00
1015604150,198.0,Fixation,50,0.68292,450.00,674.00,NaN,NaN,NaN,NaN
1015802486,30.0,Saccade,55,0.68111,NaN,NaN,450.00,674.00,576.00,674.00
1015832486,223.0,Fixation,51,0.68190,586.00,676.00,NaN,NaN,NaN,NaN
1016055821,30.0,Saccade,56,0.68591,NaN,NaN,590.00,674.00,737.00,674.00
1016085821,167.0,Fixation,52,0.68384,743.00,674.00,NaN,NaN,NaN,NaN
1016252490,33.0,Saccade,57,0.68318,NaN,NaN,746.00,675.00,918.00,674.00
