starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
885326405,25.0,Saccade,1,0.62829,NaN,NaN,964.00,562.00,753.00,563.00
885354739,13.0,Saccade,2,0.62721,NaN,NaN,692.00,568.00,610.00,572.00
885368072,118.0,Fixation,1,0.62001,621.00,572.00,NaN,NaN,NaN,NaN
885486406,35.0,Saccade,3,0.61539,NaN,NaN,616.00,572.00,408.00,552.00
885521406,117.0,Fixation,2,0.61239,421.00,555.00,NaN,NaN,NaN,NaN
885638074,22.0,Saccade,4,0.61270,NaN,NaN,419.00,554.00,348.00,552.00
885659741,107.0,Fixation,3,0.61613,357.00,552.00,NaN,NaN,NaN,NaN
885766407,35.0,Saccade,5,0.62504,NaN,NaN,358.00,552.00,646.00,540.00
885801408,140.0,Fixation,4,0.62885,637.00,541.00,NaN,NaN,NaN,NaN
885941408,28.0,Saccade,6,0.63008,NaN,NaN,638.00,541.00,810.00,536.00
885969743,180.0,Fixation,5,0.62708,804.00,532.00,NaN,NaN,NaN,NaN
886149744,25.0,Saccade,7,0.63043,NaN,NaN,804.00,534.00,906.00,535.00
886174744,122.0,Fixation,6,0.63120,889.00,535.00,NaN,NaN,NaN,NaN
886296411,28.0,Saccade,8,0.63015,NaN,NaN,889.00,538.00,1034.00,540.00
886381411,13.0,Saccade,9,0.62924,NaN,NaN,1023.00,542.00,1021.00,562.00
886531412,60.0,Saccade,10,0.63659,NaN,NaN,1004.00,526.00,1217.00,541.00
886603079,17.0,Saccade,11,0.63616,NaN,NaN,1222.00,542.00,1207.00,566.00
886769747,20.0,Saccade,12,0.65429,NaN,NaN,1362.00,566.00,1358.00,564.00
886774747,117.0,Fixation,7,0.66367,1368.00,550.00,NaN,NaN,NaN,NaN
886891414,27.0,Saccade,13,0.66750,NaN,NaN,1362.00,548.00,1508.00,558.00
886918081,150.0,Fixation,8,0.67454,1491.00,556.00,NaN,NaN,NaN,NaN
887068082,27.0,Saccade,14,0.67541,NaN,NaN,1489.00,558.00,1627.00,568.00
887094749,155.0,Fixation,9,0.66762,1610.00,563.00,NaN,NaN,NaN,NaN
887249750,47.0,Saccade,15,0.66901,NaN,NaN,1608.00,566.00,774.00,562.00
887314751,125.0,Fixation,10,0.66440,420.00,591.00,NaN,NaN,NaN,NaN
887439751,22.0,Saccade,16,0.66643,NaN,NaN,416.00,592.00,306.00,590.00
887468084,7.0,Saccade,17,0.66855,NaN,NaN,333.00,591.00,348.00,596.00
887474752,152.0,Fixation,11,0.67071,336.00,592.00,NaN,NaN,NaN,NaN
887626417,23.0,Saccade,18,0.67025,NaN,NaN,334.00,592.00,500.00,587.00
887649752,153.0,Fixation,12,0.66493,467.00,589.00,NaN,NaN,NaN,NaN
887803085,25.0,Saccade,19,0.66214,NaN,NaN,466.00,588.00,629.00,581.00
887828086,173.0,Fixation,13,0.66092,597.00,583.00,NaN,NaN,NaN,NaN
888001420,30.0,Saccade,20,0.66555,NaN,NaN,602.00,583.00,394.00,548.00
888031420,213.0,Fixation,14,0.66501,412.00,555.00,NaN,NaN,NaN,NaN
888244754,28.0,Saccade,21,0.67001,NaN,NaN,408.00,551.00,605.00,546.00
888273087,180.0,Fixation,15,0.67616,584.00,546.00,NaN,NaN,NaN,NaN
888453088,27.0,Saccade,22,0.68128,NaN,NaN,583.00,546.00,748.00,538.00
888479755,210.0,Fixation,16,0.68351,728.00,539.00,NaN,NaN,NaN,NaN
888689756,23.0,Saccade,23,0.68837,NaN,NaN,726.00,540.00,835.00,540.00
888761422,12.0,Saccade,24,0.66806,NaN,NaN,806.00,542.00,807.00,580.00
889224759,17.0,Saccade,25,0.71492,NaN,NaN,751.00,554.00,746.00,535.00
889241424,100.0,Fixation,17,0.72205,745.00,533.00,NaN,NaN,NaN,NaN
889341425,32.0,Saccade,26,0.72300,NaN,NaN,744.00,532.00,968.00,532.00
889373092,137.0,Fixation,18,0.72149,953.00,534.00,NaN,NaN,NaN,NaN
889509760,23.0,Saccade,27,0.71970,NaN,NaN,955.00,536.00,1058.00,534.00
889533093,132.0,Fixation,19,0.71248,1038.00,535.00,NaN,NaN,NaN,NaN
889664760,18.0,Saccade,28,0.70806,NaN,NaN,1038.00,534.00,1160.00,535.00
889686427,182.0,Fixation,20,0.70108,1250.00,544.00,NaN,NaN,NaN,NaN
889868094,32.0,Saccade,29,0.69403,NaN,NaN,1250.00,546.00,1450.00,552.00
889899761,107.0,Fixation,21,0.69015,1438.00,548.00,NaN,NaN,NaN,NaN
890006428,23.0,Saccade,30,0.68932,NaN,NaN,1438.00,546.00,1526.00,551.00
890029762,112.0,Fixation,22,0.68809,1506.00,550.00,NaN,NaN,NaN,NaN
890141428,45.0,Saccade,31,0.68994,NaN,NaN,1508.00,550.00,1025.00,320.00
890186429,163.0,Fixation,23,0.68976,1038.00,326.00,NaN,NaN,NaN,NaN
890349763,23.0,Saccade,32,0.69317,NaN,NaN,1036.00,327.00,912.00,338.00
890373096,115.0,Fixation,24,0.69438,940.00,339.00,NaN,NaN,NaN,NaN
890488096,27.0,Saccade,33,0.69981,NaN,NaN,938.00,342.00,798.00,346.00
890514764,138.0,Fixation,25,0.70474,819.00,350.00,NaN,NaN,NaN,NaN
890653097,18.0,Saccade,34,0.71062,NaN,NaN,820.00,348.00,764.00,343.00
890671430,97.0,Fixation,26,0.71318,782.00,349.00,NaN,NaN,NaN,NaN
890768098,28.0,Saccade,35,0.71268,NaN,NaN,781.00,348.00,991.00,350.00
890799765,8.0,Saccade,36,0.71109,NaN,NaN,966.00,344.00,942.00,346.00
890808098,182.0,Fixation,27,0.70227,960.00,349.00,NaN,NaN,NaN,NaN
890989765,47.0,Saccade,37,0.69951,NaN,NaN,964.00,348.00,420.00,636.00
891036432,127.0,Fixation,28,0.69204,445.00,634.00,NaN,NaN,NaN,NaN
891163099,23.0,Saccade,38,0.69258,NaN,NaN,444.00,632.00,322.00,654.00
891186432,118.0,Fixation,29,0.68773,350.00,653.00,NaN,NaN,NaN,NaN
891304767,33.0,Saccade,39,0.67758,NaN,NaN,348.00,649.00,654.00,636.00
891338100,147.0,Fixation,30,0.66586,644.00,636.00,NaN,NaN,NaN,NaN
891484767,32.0,Saccade,40,0.66179,NaN,NaN,645.00,637.00,876.00,634.00
891516434,158.0,Fixation,31,0.65456,870.00,634.00,NaN,NaN,NaN,NaN
891674768,27.0,Saccade,41,0.64953,NaN,NaN,873.00,632.00,1017.00,638.00
891701434,133.0,Fixation,32,0.64089,1003.00,633.00,NaN,NaN,NaN,NaN
891834769,30.0,Saccade,42,0.63309,NaN,NaN,1004.00,630.00,1160.00,640.00
891864769,153.0,Fixation,33,0.62835,1156.00,639.00,NaN,NaN,NaN,NaN
892018103,30.0,Saccade,43,0.62914,NaN,NaN,1155.00,638.00,1334.00,646.00
892048103,188.0,Fixation,34,0.62809,1327.00,646.00,NaN,NaN,NaN,NaN
892236437,33.0,Saccade,44,0.63084,NaN,NaN,1329.00,650.00,1513.00,657.00
892309771,23.0,Saccade,45,0.63195,NaN,NaN,1499.00,654.00,1616.00,644.00
892333104,115.0,Fixation,35,0.63317,1584.00,646.00,NaN,NaN,NaN,NaN
892448105,48.0,Saccade,46,0.64083,NaN,NaN,1585.00,646.00,758.00,656.00
892499772,27.0,Saccade,47,0.63813,NaN,NaN,662.00,668.00,375.00,684.00
892526438,223.0,Fixation,36,0.64399,385.00,685.00,NaN,NaN,NaN,NaN
892749774,28.0,Saccade,48,0.65122,NaN,NaN,384.00,685.00,624.00,681.00
892778107,147.0,Fixation,37,0.64742,600.00,679.00,NaN,NaN,NaN,NaN
892924775,28.0,Saccade,49,0.64599,NaN,NaN,600.00,680.00,774.00,670.00
892953108,137.0,Fixation,38,0.64325,768.00,673.00,NaN,NaN,NaN,NaN
893089776,13.0,Saccade,50,0.63283,NaN,NaN,771.00,677.00,749.00,706.00
893241442,162.0,Fixation,39,0.64483,1018.00,670.00,NaN,NaN,NaN,NaN
893399777,37.0,Saccade,51,0.65850,NaN,NaN,1016.00,673.00,1265.00,675.00
893436444,150.0,Fixation,40,0.66317,1252.00,676.00,NaN,NaN,NaN,NaN
893586444,28.0,Saccade,52,0.65868,NaN,NaN,1254.00,680.00,1362.00,690.00
893614779,135.0,Fixation,41,0.65186,1364.00,689.00,NaN,NaN,NaN,NaN
893749779,15.0,Saccade,53,0.65097,NaN,NaN,1364.00,690.00,1402.00,686.00
893764779,118.0,Fixation,42,0.64977,1393.00,688.00,NaN,NaN,NaN,NaN
893883113,27.0,Saccade,54,0.65020,NaN,NaN,1392.00,689.00,1503.00,698.00
893909779,172.0,Fixation,43,0.65161,1496.00,695.00,NaN,NaN,NaN,NaN
894081446,22.0,Saccade,55,0.65503,NaN,NaN,1498.00,690.00,1580.00,689.00
894103113,85.0,Fixation,44,0.65669,1563.00,690.00,NaN,NaN,NaN,NaN
894188114,50.0,Saccade,56,0.66021,NaN,NaN,1562.00,694.00,748.00,694.00
894241447,30.0,Saccade,57,0.65459,NaN,NaN,656.00,700.00,314.00,740.00
894271447,232.0,Fixation,45,0.65608,321.00,742.00,NaN,NaN,NaN,NaN
894503116,28.0,Saccade,58,0.65722,NaN,NaN,320.00,741.00,526.00,714.00
894531449,207.0,Fixation,46,0.64923,506.00,716.00,NaN,NaN,NaN,NaN
894738117,25.0,Saccade,59,0.64681,NaN,NaN,508.00,716.00,674.00,712.00
894763117,95.0,Fixation,47,0.64665,654.00,715.00,NaN,NaN,NaN,NaN
894858118,13.0,Saccade,60,0.64251,NaN,NaN,658.00,714.00,644.00,775.00
894983119,12.0,Saccade,61,0.63143,NaN,NaN,800.00,722.00,806.00,720.00
895003119,10.0,Saccade,62,0.63793,NaN,NaN,810.00,717.00,794.00,714.00
895013119,170.0,Fixation,48,0.64979,801.00,705.00,NaN,NaN,NaN,NaN
895183120,27.0,Saccade,63,0.66092,NaN,NaN,802.00,700.00,934.00,712.00
