starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
1003869287,22.0,Saccade,1,0.59890,NaN,NaN,979.00,493.00,915.00,470.00
1003890953,230.0,Fixation,1,0.53900,923.00,473.00,NaN,NaN,NaN,NaN
1004120955,72.0,Saccade,2,0.49030,NaN,NaN,922.00,479.00,362.00,530.00
1004192623,163.0,Fixation,2,0.47029,364.00,533.00,NaN,NaN,NaN,NaN
1004355958,17.0,Saccade,3,0.46230,NaN,NaN,360.00,532.00,330.00,511.00
1004372625,190.0,Fixation,3,0.45882,330.00,514.00,NaN,NaN,NaN,NaN
1004562627,20.0,Saccade,4,0.45709,NaN,NaN,334.00,518.00,308.00,566.00
1004582627,165.0,Fixation,4,0.45742,319.00,567.00,NaN,NaN,NaN,NaN
1004747629,28.0,Saccade,5,0.45974,NaN,NaN,318.00,568.00,438.00,576.00
1004775962,153.0,Fixation,5,0.46388,447.00,579.00,NaN,NaN,NaN,NaN
1004929298,30.0,Saccade,6,0.46878,NaN,NaN,451.00,577.00,566.00,580.00
1004959298,158.0,Fixation,6,0.47276,587.00,577.00,NaN,NaN,NaN,NaN
1005117630,57.0,Saccade,7,0.47676,NaN,NaN,588.00,579.00,939.00,306.00
1005174285,282.0,Fixation,7,0.47809,942.00,303.00,NaN,NaN,NaN,NaN
1005455954,65.0,Saccade,8,0.47998,NaN,NaN,943.00,303.00,744.00,580.00
1005520955,140.0,Fixation,8,0.48735,741.00,583.00,NaN,NaN,NaN,NaN
1005660957,17.0,Saccade,9,0.49479,NaN,NaN,738.00,584.00,706.00,576.00
1005677624,115.0,Fixation,9,0.49859,710.00,579.00,NaN,NaN,NaN,NaN
1005792625,40.0,Saccade,10,0.50155,NaN,NaN,710.00,578.00,912.00,558.00
1005832625,160.0,Fixation,10,0.50117,923.00,555.00,NaN,NaN,NaN,NaN
1005992627,48.0,Saccade,11,0.49915,NaN,NaN,926.00,556.00,1008.00,344.00
1006040961,233.0,Fixation,11,0.49633,1009.00,347.00,NaN,NaN,NaN,NaN
1006274297,83.0,Saccade,12,0.49126,NaN,NaN,1010.00,343.00,445.00,640.00
1006357631,110.0,Fixation,12,0.48737,440.00,645.00,NaN,NaN,NaN,NaN
1006467632,25.0,Saccade,13,0.48839,NaN,NaN,439.00,646.00,338.00,633.00
1006492632,192.0,Fixation,13,0.48883,338.00,637.00,NaN,NaN,NaN,NaN
1006684301,37.0,Saccade,14,0.49071,NaN,NaN,336.00,638.00,514.00,642.00
1006720968,177.0,Fixation,14,0.49139,516.00,645.00,NaN,NaN,NaN,NaN
1006897637,27.0,Saccade,15,0.49355,NaN,NaN,518.00,647.00,634.00,631.00
1006924304,172.0,Fixation,15,0.49166,634.00,636.00,NaN,NaN,NaN,NaN
1007095972,27.0,Saccade,16,0.49035,NaN,NaN,636.00,635.00,743.00,622.00
1007122639,192.0,Fixation,16,0.48954,739.00,630.00,NaN,NaN,NaN,NaN
1007314308,42.0,Saccade,17,0.48975,NaN,NaN,743.00,630.00,932.00,624.00
1007355975,265.0,Fixation,17,0.49075,940.00,622.00,NaN,NaN,NaN,NaN
1007620977,32.0,Saccade,18,0.49395,NaN,NaN,940.00,622.00,1032.00,632.00
1007654312,165.0,Fixation,18,0.49631,1056.00,638.00,NaN,NaN,NaN,NaN
1007817646,43.0,Saccade,19,0.49636,NaN,NaN,1060.00,640.00,1236.00,643.00
1007860980,228.0,Fixation,19,0.49395,1230.00,642.00,NaN,NaN,NaN,NaN
1008089316,42.0,Saccade,20,0.49390,NaN,NaN,1230.00,640.00,1427.00,642.00
1008130983,135.0,Fixation,20,0.49519,1435.00,641.00,NaN,NaN,NaN,NaN
1008265984,128.0,Saccade,21,0.49699,NaN,NaN,1439.00,642.00,420.00,670.00
1008394320,112.0,Fixation,21,0.49315,419.00,670.00,NaN,NaN,NaN,NaN
1008505987,23.0,Saccade,22,0.49287,NaN,NaN,417.00,670.00,325.00,684.00
1008529321,192.0,Fixation,22,0.49650,342.00,691.00,NaN,NaN,NaN,NaN
1008720989,47.0,Saccade,23,0.50798,NaN,NaN,344.00,689.00,616.00,673.00
1008767657,197.0,Fixation,23,0.51610,617.00,675.00,NaN,NaN,NaN,NaN
1008964326,30.0,Saccade,24,0.52018,NaN,NaN,617.00,676.00,724.00,660.00
1008994326,140.0,Fixation,24,0.52032,740.00,667.00,NaN,NaN,NaN,NaN
1009134327,37.0,Saccade,25,0.51794,NaN,NaN,740.00,666.00,899.00,658.00
1009170994,193.0,Fixation,25,0.51437,906.00,660.00,NaN,NaN,NaN,NaN
1009364330,33.0,Saccade,26,0.51210,NaN,NaN,907.00,660.00,1033.00,656.00
1009397663,227.0,Fixation,26,0.51075,1054.00,658.00,NaN,NaN,NaN,NaN
1009624333,30.0,Saccade,27,0.50790,NaN,NaN,1059.00,663.00,1160.00,672.00
1009654333,165.0,Fixation,27,0.50253,1165.00,672.00,NaN,NaN,NaN,NaN
1009819335,33.0,Saccade,28,0.50047,NaN,NaN,1164.00,676.00,1278.00,678.00
1009852668,195.0,Fixation,28,0.50010,1284.00,681.00,NaN,NaN,NaN,NaN
1010047670,35.0,Saccade,29,0.50198,NaN,NaN,1282.00,680.00,1409.00,686.00
1010082670,173.0,Fixation,29,0.50397,1417.00,685.00,NaN,NaN,NaN,NaN
1010255991,27.0,Saccade,30,0.50660,NaN,NaN,1419.00,690.00,1486.00,686.00
1010282659,80.0,Fixation,30,0.50730,1497.00,685.00,NaN,NaN,NaN,NaN
1010362659,25.0,Saccade,31,0.49544,NaN,NaN,1498.00,690.00,1378.00,874.00
1010504328,20.0,Saccade,32,0.50592,NaN,NaN,304.00,736.00,364.00,685.00
1010520994,118.0,Fixation,31,0.52020,352.00,689.00,NaN,NaN,NaN,NaN
1010639329,18.0,Saccade,33,0.52348,NaN,NaN,350.00,694.00,308.00,720.00
1010657663,207.0,Fixation,32,0.53289,322.00,722.00,NaN,NaN,NaN,NaN
1010864332,30.0,Saccade,34,0.54597,NaN,NaN,322.00,723.00,496.00,710.00
1010894332,178.0,Fixation,33,0.54750,489.00,713.00,NaN,NaN,NaN,NaN
1011072667,30.0,Saccade,35,0.54315,NaN,NaN,490.00,716.00,650.00,707.00
1011102667,207.0,Fixation,34,0.53819,645.00,709.00,NaN,NaN,NaN,NaN
1011309336,42.0,Saccade,36,0.53625,NaN,NaN,643.00,708.00,868.00,702.00
1011351003,227.0,Fixation,35,0.53347,872.00,703.00,NaN,NaN,NaN,NaN
1011577672,30.0,Saccade,37,0.53196,NaN,NaN,874.00,702.00,1004.00,696.00
