starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
459009160,150.0,Fixation,1,0.95377,952.00,541.00,NaN,NaN,NaN,NaN
459159161,32.0,Saccade,1,0.95180,NaN,NaN,950.00,540.00,814.00,486.00
459190828,258.0,Fixation,2,0.88262,807.00,486.00,NaN,NaN,NaN,NaN
459449163,47.0,Saccade,2,0.81960,NaN,NaN,804.00,484.00,485.00,482.00
459495829,153.0,Fixation,3,0.78878,480.00,482.00,NaN,NaN,NaN,NaN
459649164,35.0,Saccade,3,0.76653,NaN,NaN,480.00,482.00,356.00,466.00
459684165,177.0,Fixation,4,0.75219,346.00,463.00,NaN,NaN,NaN,NaN
459860832,33.0,Saccade,4,0.74934,NaN,NaN,346.00,461.00,498.00,460.00
459894166,168.0,Fixation,5,0.75172,512.00,463.00,NaN,NaN,NaN,NaN
460062501,55.0,Saccade,5,0.75230,NaN,NaN,512.00,460.00,846.00,244.00
460117501,200.0,Fixation,6,0.75255,846.00,238.00,NaN,NaN,NaN,NaN
460317488,53.0,Saccade,6,0.75912,NaN,NaN,848.00,236.00,480.00,494.00
460370821,158.0,Fixation,7,0.76110,485.00,500.00,NaN,NaN,NaN,NaN
460529157,32.0,Saccade,7,0.76959,NaN,NaN,485.00,504.00,302.00,522.00
460560823,238.0,Fixation,8,0.78346,307.00,530.00,NaN,NaN,NaN,NaN
460799159,47.0,Saccade,8,0.78942,NaN,NaN,306.00,530.00,327.00,751.00
460845825,102.0,Fixation,9,0.78227,323.00,765.00,NaN,NaN,NaN,NaN
460947493,17.0,Saccade,9,0.78162,NaN,NaN,324.00,766.00,346.00,730.00
460964160,438.0,Fixation,10,0.79070,336.00,736.00,NaN,NaN,NaN,NaN
461402497,37.0,Saccade,10,0.79893,NaN,NaN,330.00,736.00,365.00,576.00
461439164,78.0,Fixation,11,0.80110,372.00,579.00,NaN,NaN,NaN,NaN
461517498,22.0,Saccade,11,0.80160,NaN,NaN,374.00,574.00,444.00,538.00
461539165,188.0,Fixation,12,0.79791,434.00,549.00,NaN,NaN,NaN,NaN
461727500,23.0,Saccade,12,0.79336,NaN,NaN,434.00,550.00,358.00,539.00
461750833,183.0,Fixation,13,0.78896,366.00,542.00,NaN,NaN,NaN,NaN
461934168,27.0,Saccade,13,0.78693,NaN,NaN,364.00,542.00,478.00,540.00
461960834,205.0,Fixation,14,0.79024,474.00,542.00,NaN,NaN,NaN,NaN
462165836,25.0,Saccade,14,0.79316,NaN,NaN,476.00,542.00,578.00,539.00
462190836,197.0,Fixation,15,0.79055,569.00,542.00,NaN,NaN,NaN,NaN
462387505,25.0,Saccade,15,0.78976,NaN,NaN,569.00,543.00,647.00,539.00
462412505,198.0,Fixation,16,0.78381,652.00,542.00,NaN,NaN,NaN,NaN
462610840,20.0,Saccade,16,0.77869,NaN,NaN,654.00,542.00,720.00,536.00
462630840,123.0,Fixation,17,0.77366,707.00,540.00,NaN,NaN,NaN,NaN
462754175,48.0,Saccade,17,0.76709,NaN,NaN,706.00,542.00,848.00,245.00
462802508,255.0,Fixation,18,0.75713,855.00,235.00,NaN,NaN,NaN,NaN
463057511,48.0,Saccade,18,0.75274,NaN,NaN,854.00,233.00,804.00,484.00
463105844,127.0,Fixation,19,0.75669,799.00,500.00,NaN,NaN,NaN,NaN
463232512,23.0,Saccade,19,0.76242,NaN,NaN,798.00,503.00,718.00,544.00
463255845,160.0,Fixation,20,0.77629,732.00,536.00,NaN,NaN,NaN,NaN
463415847,47.0,Saccade,20,0.79222,NaN,NaN,728.00,535.00,833.00,202.00
463474181,7.0,Saccade,21,0.79396,NaN,NaN,849.00,204.00,849.00,198.00
463480847,198.0,Fixation,21,0.79594,849.00,195.00,NaN,NaN,NaN,NaN
463679183,15.0,Saccade,22,0.79637,NaN,NaN,850.00,194.00,895.00,196.00
463694183,212.0,Fixation,22,0.79693,882.00,196.00,NaN,NaN,NaN,NaN
