starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
801084176,187.0,Fixation,1,0.75284,574.00,538.00,NaN,NaN,NaN,NaN
801270845,30.0,Saccade,1,0.75315,NaN,NaN,575.00,540.00,741.00,542.00
801300844,193.0,Fixation,2,0.75540,738.00,542.00,NaN,NaN,NaN,NaN
801494179,27.0,Saccade,2,0.75695,NaN,NaN,734.00,542.00,862.00,534.00
801520846,133.0,Fixation,3,0.75523,854.00,535.00,NaN,NaN,NaN,NaN
801654180,20.0,Saccade,3,0.75424,NaN,NaN,856.00,538.00,927.00,528.00
801674181,112.0,Fixation,4,0.75451,912.00,528.00,NaN,NaN,NaN,NaN
801785847,50.0,Saccade,4,0.75821,NaN,NaN,914.00,526.00,948.00,227.00
801835848,160.0,Fixation,5,0.76045,947.00,224.00,NaN,NaN,NaN,NaN
801995849,18.0,Saccade,5,0.76018,NaN,NaN,948.00,218.00,1000.00,231.00
802014183,313.0,Fixation,6,0.76140,993.00,227.00,NaN,NaN,NaN,NaN
802327518,72.0,Saccade,6,0.77762,NaN,NaN,994.00,229.00,361.00,593.00
802399184,320.0,Fixation,7,0.77637,351.00,597.00,NaN,NaN,NaN,NaN
802719188,32.0,Saccade,7,0.76903,NaN,NaN,340.00,599.00,520.00,586.00
802750855,150.0,Fixation,8,0.76406,518.00,587.00,NaN,NaN,NaN,NaN
802900856,20.0,Saccade,8,0.75841,NaN,NaN,518.00,592.00,588.00,589.00
802920855,133.0,Fixation,9,0.75149,580.00,590.00,NaN,NaN,NaN,NaN
803054191,28.0,Saccade,9,0.74590,NaN,NaN,582.00,589.00,726.00,584.00
803082524,202.0,Fixation,10,0.74079,722.00,587.00,NaN,NaN,NaN,NaN
803284193,37.0,Saccade,10,0.73817,NaN,NaN,722.00,584.00,941.00,582.00
803320860,178.0,Fixation,11,0.73543,937.00,581.00,NaN,NaN,NaN,NaN
803499195,32.0,Saccade,11,0.73188,NaN,NaN,940.00,582.00,1088.00,582.00
803530862,145.0,Fixation,12,0.72882,1086.00,581.00,NaN,NaN,NaN,NaN
803675864,22.0,Saccade,12,0.72830,NaN,NaN,1090.00,579.00,1178.00,587.00
803705864,157.0,Fixation,13,0.73005,1182.00,588.00,NaN,NaN,NaN,NaN
803862531,27.0,Saccade,13,0.73338,NaN,NaN,1180.00,586.00,1280.00,592.00
803889199,192.0,Fixation,14,0.73788,1275.00,589.00,NaN,NaN,NaN,NaN
804080868,32.0,Saccade,14,0.74461,NaN,NaN,1279.00,588.00,1438.00,587.00
804112534,213.0,Fixation,15,0.74592,1437.00,595.00,NaN,NaN,NaN,NaN
804325870,47.0,Saccade,15,0.74540,NaN,NaN,1438.00,594.00,762.00,614.00
804375870,25.0,Saccade,16,0.73951,NaN,NaN,670.00,612.00,414.00,629.00
804400871,118.0,Fixation,16,0.73847,420.00,626.00,NaN,NaN,NaN,NaN
804519205,22.0,Saccade,17,0.73725,NaN,NaN,417.00,623.00,328.00,631.00
804540872,208.0,Fixation,17,0.73912,345.00,629.00,NaN,NaN,NaN,NaN
804749207,22.0,Saccade,18,0.74781,NaN,NaN,344.00,624.00,419.00,631.00
804770874,425.0,Fixation,18,0.75609,414.00,630.00,NaN,NaN,NaN,NaN
805195878,23.0,Saccade,19,0.75197,NaN,NaN,415.00,629.00,500.00,604.00
805219211,145.0,Fixation,19,0.74779,494.00,604.00,NaN,NaN,NaN,NaN
805364213,27.0,Saccade,20,0.74346,NaN,NaN,497.00,602.00,618.00,624.00
805390880,193.0,Fixation,20,0.73862,613.00,624.00,NaN,NaN,NaN,NaN
805584215,20.0,Saccade,21,0.73665,NaN,NaN,612.00,628.00,672.00,628.00
805604215,142.0,Fixation,21,0.73529,668.00,629.00,NaN,NaN,NaN,NaN
805745884,30.0,Saccade,22,0.73473,NaN,NaN,668.00,626.00,810.00,629.00
805775884,193.0,Fixation,22,0.73066,811.00,628.00,NaN,NaN,NaN,NaN
805969219,37.0,Saccade,23,0.73030,NaN,NaN,808.00,627.00,1008.00,630.00
806005886,190.0,Fixation,23,0.72974,1005.00,628.00,NaN,NaN,NaN,NaN
806195876,32.0,Saccade,24,0.72917,NaN,NaN,1010.00,630.00,1142.00,628.00
806227542,198.0,Fixation,24,0.72807,1139.00,629.00,NaN,NaN,NaN,NaN
806425878,32.0,Saccade,25,0.72603,NaN,NaN,1142.00,630.00,1295.00,630.00
806457544,175.0,Fixation,25,0.72304,1298.00,634.00,NaN,NaN,NaN,NaN
806632546,23.0,Saccade,26,0.72043,NaN,NaN,1296.00,638.00,1212.00,628.00
806655879,240.0,Fixation,26,0.71660,1211.00,635.00,NaN,NaN,NaN,NaN
806895883,15.0,Saccade,27,0.71452,NaN,NaN,1210.00,633.00,1176.00,638.00
806910883,190.0,Fixation,27,0.71795,1178.00,636.00,NaN,NaN,NaN,NaN
807100884,32.0,Saccade,28,0.72270,NaN,NaN,1178.00,636.00,1038.00,630.00
807132551,170.0,Fixation,28,0.72639,1038.00,631.00,NaN,NaN,NaN,NaN
807302552,33.0,Saccade,29,0.72785,NaN,NaN,1035.00,629.00,1192.00,636.00
807335887,235.0,Fixation,29,0.72864,1192.00,635.00,NaN,NaN,NaN,NaN
807570888,15.0,Saccade,30,0.73002,NaN,NaN,1195.00,634.00,1230.00,638.00
