starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
516941315,38.0,Saccade,1,0.74115,NaN,NaN,957.00,560.00,829.00,472.00
516979648,272.0,Fixation,1,0.62656,838.00,466.00,NaN,NaN,NaN,NaN
517251317,15.0,Saccade,2,0.56623,NaN,NaN,840.00,478.00,746.00,478.00
517267985,22.0,Saccade,3,0.56403,NaN,NaN,688.00,465.00,432.00,480.00
517289654,162.0,Fixation,2,0.55849,447.00,463.00,NaN,NaN,NaN,NaN
517451320,27.0,Saccade,4,0.55823,NaN,NaN,442.00,450.00,314.00,442.00
517477987,168.0,Fixation,3,0.56136,329.00,433.00,NaN,NaN,NaN,NaN
517646322,17.0,Saccade,5,0.56821,NaN,NaN,332.00,431.00,387.00,428.00
517662991,130.0,Fixation,4,0.57014,382.00,426.00,NaN,NaN,NaN,NaN
517792990,27.0,Saccade,6,0.57190,NaN,NaN,375.00,426.00,530.00,419.00
517819656,168.0,Fixation,5,0.57179,514.00,426.00,NaN,NaN,NaN,NaN
517987993,23.0,Saccade,7,0.57539,NaN,NaN,508.00,427.00,614.00,444.00
518011327,155.0,Fixation,6,0.57423,612.00,431.00,NaN,NaN,NaN,NaN
518166327,45.0,Saccade,8,0.58492,NaN,NaN,610.00,430.00,938.00,246.00
518211330,858.0,Fixation,7,0.59805,953.00,231.00,NaN,NaN,NaN,NaN
519069671,52.0,Saccade,9,0.58547,NaN,NaN,952.00,222.00,467.00,424.00
519121339,260.0,Fixation,8,0.57947,477.00,421.00,NaN,NaN,NaN,NaN
519381341,23.0,Saccade,10,0.59188,NaN,NaN,472.00,432.00,578.00,427.00
519404674,160.0,Fixation,9,0.59083,559.00,422.00,NaN,NaN,NaN,NaN
519564676,23.0,Saccade,11,0.58964,NaN,NaN,564.00,428.00,657.00,430.00
519588010,60.0,Fixation,10,0.58926,649.00,430.00,NaN,NaN,NaN,NaN
519648012,35.0,Saccade,12,0.59387,NaN,NaN,649.00,428.00,329.00,512.00
519683012,157.0,Fixation,11,0.59393,342.00,512.00,NaN,NaN,NaN,NaN
519839678,17.0,Saccade,13,0.59998,NaN,NaN,346.00,507.00,278.00,518.00
519856346,185.0,Fixation,12,0.60426,289.00,517.00,NaN,NaN,NaN,NaN
520041350,20.0,Saccade,14,0.60948,NaN,NaN,290.00,528.00,374.00,526.00
520061347,213.0,Fixation,13,0.60073,354.00,518.00,NaN,NaN,NaN,NaN
520274685,22.0,Saccade,15,0.59330,NaN,NaN,361.00,520.00,454.00,506.00
520296351,185.0,Fixation,14,0.58616,444.00,513.00,NaN,NaN,NaN,NaN
520481356,25.0,Saccade,16,0.58580,NaN,NaN,447.00,524.00,566.00,493.00
520563022,23.0,Saccade,17,0.58145,NaN,NaN,558.00,506.00,784.00,516.00
520589690,12.0,Saccade,18,0.58401,NaN,NaN,769.00,509.00,694.00,495.00
520601356,153.0,Fixation,15,0.58322,712.00,515.00,NaN,NaN,NaN,NaN
520754674,17.0,Saccade,19,0.58299,NaN,NaN,706.00,516.00,648.00,516.00
520771342,193.0,Fixation,16,0.58831,669.00,511.00,NaN,NaN,NaN,NaN
520964676,15.0,Saccade,20,0.59254,NaN,NaN,672.00,508.00,615.00,517.00
520979677,203.0,Fixation,17,0.58327,627.00,514.00,NaN,NaN,NaN,NaN
521183013,23.0,Saccade,21,0.57858,NaN,NaN,630.00,523.00,720.00,519.00
521206346,420.0,Fixation,18,0.58462,700.00,519.00,NaN,NaN,NaN,NaN
521626350,23.0,Saccade,22,0.59800,NaN,NaN,692.00,522.00,825.00,526.00
521649684,237.0,Fixation,19,0.59914,806.00,521.00,NaN,NaN,NaN,NaN
521886356,15.0,Saccade,23,0.60228,NaN,NaN,810.00,521.00,861.00,528.00
521901355,187.0,Fixation,20,0.60649,854.00,524.00,NaN,NaN,NaN,NaN
