starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
358324176,53.0,Saccade,1,0.66958,NaN,NaN,960.00,542.00,643.00,482.00
358377510,110.0,Fixation,1,0.66039,639.00,477.00,NaN,NaN,NaN,NaN
358487510,38.0,Saccade,2,0.65675,NaN,NaN,639.00,476.00,414.00,454.00
358525845,200.0,Fixation,2,0.65440,413.00,456.00,NaN,NaN,NaN,NaN
358725847,47.0,Saccade,3,0.66242,NaN,NaN,412.00,460.00,714.00,438.00
358772514,140.0,Fixation,3,0.67392,720.00,438.00,NaN,NaN,NaN,NaN
358912515,27.0,Saccade,4,0.68253,NaN,NaN,720.00,441.00,826.00,438.00
358939182,122.0,Fixation,4,0.68545,824.00,440.00,NaN,NaN,NaN,NaN
359060850,47.0,Saccade,5,0.68820,NaN,NaN,822.00,445.00,968.00,228.00
359107517,277.0,Fixation,5,0.69082,966.00,232.00,NaN,NaN,NaN,NaN
359384187,13.0,Saccade,6,0.69510,NaN,NaN,966.00,234.00,957.00,261.00
359397520,140.0,Fixation,6,0.70173,961.00,262.00,NaN,NaN,NaN,NaN
359537521,37.0,Saccade,7,0.70556,NaN,NaN,960.00,264.00,675.00,418.00
359624189,18.0,Saccade,8,0.70184,NaN,NaN,416.00,597.00,439.00,552.00
359640856,117.0,Fixation,7,0.71756,434.00,550.00,NaN,NaN,NaN,NaN
359757523,20.0,Saccade,9,0.72209,NaN,NaN,433.00,550.00,360.00,550.00
359777524,142.0,Fixation,8,0.72505,371.00,548.00,NaN,NaN,NaN,NaN
359919193,43.0,Saccade,10,0.73110,NaN,NaN,370.00,552.00,714.00,530.00
359962526,195.0,Fixation,9,0.72871,721.00,531.00,NaN,NaN,NaN,NaN
360157528,38.0,Saccade,11,0.72472,NaN,NaN,720.00,532.00,483.00,534.00
360195862,197.0,Fixation,10,0.72152,479.00,532.00,NaN,NaN,NaN,NaN
360392530,18.0,Saccade,12,0.72140,NaN,NaN,476.00,531.00,528.00,534.00
360410864,173.0,Fixation,11,0.71999,521.00,533.00,NaN,NaN,NaN,NaN
360584200,38.0,Saccade,13,0.72227,NaN,NaN,524.00,534.00,780.00,529.00
360622533,178.0,Fixation,12,0.71943,788.00,529.00,NaN,NaN,NaN,NaN
360800868,35.0,Saccade,14,0.71750,NaN,NaN,789.00,532.00,992.00,526.00
360835869,232.0,Fixation,13,0.71436,998.00,530.00,NaN,NaN,NaN,NaN
361067537,13.0,Saccade,15,0.70304,NaN,NaN,997.00,534.00,1027.00,602.00
361222538,272.0,Fixation,14,0.71421,404.00,596.00,NaN,NaN,NaN,NaN
361494198,33.0,Saccade,16,0.71785,NaN,NaN,404.00,592.00,550.00,596.00
361527532,175.0,Fixation,15,0.71649,556.00,593.00,NaN,NaN,NaN,NaN
361702533,45.0,Saccade,17,0.71305,NaN,NaN,556.00,595.00,829.00,592.00
361747534,173.0,Fixation,16,0.70799,838.00,594.00,NaN,NaN,NaN,NaN
361920869,40.0,Saccade,18,0.70623,NaN,NaN,840.00,594.00,1046.00,590.00
361960869,172.0,Fixation,17,0.70263,1048.00,589.00,NaN,NaN,NaN,NaN
362132537,33.0,Saccade,19,0.70288,NaN,NaN,1050.00,592.00,1204.00,596.00
362165871,192.0,Fixation,18,0.70313,1203.00,598.00,NaN,NaN,NaN,NaN
362357539,20.0,Saccade,20,0.70208,NaN,NaN,1201.00,597.00,1256.00,603.00
362377539,205.0,Fixation,19,0.70020,1247.00,602.00,NaN,NaN,NaN,NaN
