starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
503201429,8.0,Saccade,1,0.86571,NaN,NaN,980.00,549.00,980.00,540.00
503209762,183.0,Fixation,1,0.87541,980.00,527.00,NaN,NaN,NaN,NaN
503393097,7.0,Saccade,2,0.86873,NaN,NaN,978.00,527.00,968.00,528.00
503399764,192.0,Fixation,2,0.78362,966.00,542.00,NaN,NaN,NaN,NaN
503591433,47.0,Saccade,3,0.69199,NaN,NaN,970.00,549.00,658.00,550.00
503638100,60.0,Fixation,3,0.66534,672.00,548.00,NaN,NaN,NaN,NaN
503698100,40.0,Saccade,4,0.64540,NaN,NaN,671.00,546.00,440.00,474.00
503738101,145.0,Fixation,4,0.62081,444.00,472.00,NaN,NaN,NaN,NaN
503883102,22.0,Saccade,5,0.60624,NaN,NaN,441.00,472.00,374.00,455.00
503904769,193.0,Fixation,5,0.59370,376.00,455.00,NaN,NaN,NaN,NaN
504098091,18.0,Saccade,6,0.58616,NaN,NaN,378.00,459.00,326.00,456.00
504116425,117.0,Fixation,6,0.58507,334.00,456.00,NaN,NaN,NaN,NaN
504233093,30.0,Saccade,7,0.58927,NaN,NaN,333.00,457.00,482.00,458.00
504263093,288.0,Fixation,7,0.59950,487.00,455.00,NaN,NaN,NaN,NaN
504551430,25.0,Saccade,8,0.60193,NaN,NaN,486.00,456.00,380.00,457.00
504576430,130.0,Fixation,8,0.60186,382.00,458.00,NaN,NaN,NaN,NaN
504706431,18.0,Saccade,9,0.58159,NaN,NaN,380.00,457.00,324.00,516.00
504843099,17.0,Saccade,10,0.59855,NaN,NaN,436.00,496.00,502.00,440.00
504859766,183.0,Fixation,9,0.63692,500.00,445.00,NaN,NaN,NaN,NaN
505043101,18.0,Saccade,11,0.65457,NaN,NaN,501.00,448.00,543.00,469.00
505061435,165.0,Fixation,10,0.66804,532.00,467.00,NaN,NaN,NaN,NaN
505226437,30.0,Saccade,12,0.67630,NaN,NaN,530.00,468.00,702.00,462.00
505256437,195.0,Fixation,11,0.66938,692.00,463.00,NaN,NaN,NaN,NaN
505451438,30.0,Saccade,13,0.66132,NaN,NaN,694.00,462.00,862.00,452.00
505481438,105.0,Fixation,12,0.65557,856.00,452.00,NaN,NaN,NaN,NaN
505586439,13.0,Saccade,14,0.63287,NaN,NaN,855.00,452.00,930.00,512.00
505696440,28.0,Saccade,15,0.62998,NaN,NaN,880.00,570.00,794.00,449.00
505723107,138.0,Fixation,13,0.65524,791.00,452.00,NaN,NaN,NaN,NaN
505861442,27.0,Saccade,16,0.66267,NaN,NaN,786.00,454.00,894.00,456.00
505888108,135.0,Fixation,14,0.67622,887.00,455.00,NaN,NaN,NaN,NaN
506023110,32.0,Saccade,17,0.69051,NaN,NaN,887.00,458.00,1057.00,453.00
506054777,175.0,Fixation,15,0.69128,1048.00,455.00,NaN,NaN,NaN,NaN
506229778,23.0,Saccade,18,0.68798,NaN,NaN,1047.00,454.00,1126.00,462.00
506253111,195.0,Fixation,16,0.68122,1112.00,460.00,NaN,NaN,NaN,NaN
