starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
86231484,42.0,Saccade,1,0.90881,NaN,NaN,954.00,529.00,574.00,478.00
86273152,427.0,Fixation,1,0.82018,575.00,484.00,NaN,NaN,NaN,NaN
86699824,37.0,Saccade,2,0.73762,NaN,NaN,573.00,498.00,393.00,434.00
86736490,158.0,Fixation,2,0.72465,393.00,438.00,NaN,NaN,NaN,NaN
86894826,20.0,Saccade,3,0.71627,NaN,NaN,395.00,440.00,344.00,433.00
86914826,140.0,Fixation,3,0.71285,345.00,432.00,NaN,NaN,NaN,NaN
87054828,30.0,Saccade,4,0.71368,NaN,NaN,345.00,430.00,487.00,435.00
87084829,130.0,Fixation,4,0.71482,497.00,438.00,NaN,NaN,NaN,NaN
87214830,32.0,Saccade,5,0.71746,NaN,NaN,500.00,440.00,634.00,448.00
87246497,130.0,Fixation,5,0.71621,636.00,448.00,NaN,NaN,NaN,NaN
87376498,28.0,Saccade,6,0.71687,NaN,NaN,637.00,449.00,740.00,456.00
87404832,178.0,Fixation,6,0.71680,751.00,454.00,NaN,NaN,NaN,NaN
87583167,27.0,Saccade,7,0.71850,NaN,NaN,749.00,453.00,848.00,458.00
87609834,98.0,Fixation,7,0.71942,854.00,458.00,NaN,NaN,NaN,NaN
87708169,35.0,Saccade,8,0.72251,NaN,NaN,856.00,461.00,636.00,444.00
87743169,157.0,Fixation,8,0.72242,642.00,451.00,NaN,NaN,NaN,NaN
87899838,22.0,Saccade,9,0.72335,NaN,NaN,640.00,450.00,700.00,454.00
87921493,157.0,Fixation,9,0.72707,701.00,455.00,NaN,NaN,NaN,NaN
88078162,33.0,Saccade,10,0.73144,NaN,NaN,700.00,454.00,858.00,466.00
88111495,182.0,Fixation,10,0.73209,855.00,465.00,NaN,NaN,NaN,NaN
88293164,23.0,Saccade,11,0.73427,NaN,NaN,850.00,466.00,925.00,458.00
88316497,177.0,Fixation,11,0.73734,924.00,465.00,NaN,NaN,NaN,NaN
88493167,28.0,Saccade,12,0.74169,NaN,NaN,923.00,464.00,1052.00,468.00
88521500,135.0,Fixation,12,0.74221,1055.00,465.00,NaN,NaN,NaN,NaN
88656501,20.0,Saccade,13,0.74231,NaN,NaN,1054.00,466.00,1170.00,456.00
88678169,345.0,Fixation,13,0.73639,1197.00,447.00,NaN,NaN,NaN,NaN
89023172,45.0,Saccade,14,0.73311,NaN,NaN,1187.00,446.00,920.00,247.00
89068173,185.0,Fixation,14,0.73177,925.00,254.00,NaN,NaN,NaN,NaN
89253174,37.0,Saccade,15,0.73286,NaN,NaN,924.00,255.00,1134.00,412.00
89289842,185.0,Fixation,15,0.73189,1132.00,411.00,NaN,NaN,NaN,NaN
89474844,25.0,Saccade,16,0.74234,NaN,NaN,1132.00,411.00,780.00,476.00
89511510,18.0,Saccade,17,0.74490,NaN,NaN,466.00,495.00,281.00,526.00
89529844,323.0,Fixation,16,0.74485,296.00,512.00,NaN,NaN,NaN,NaN
89853180,35.0,Saccade,18,0.74106,NaN,NaN,292.00,506.00,486.00,507.00
89888181,217.0,Fixation,17,0.73093,481.00,510.00,NaN,NaN,NaN,NaN
90104850,30.0,Saccade,19,0.72897,NaN,NaN,482.00,508.00,346.00,497.00
90134850,138.0,Fixation,18,0.72920,348.00,497.00,NaN,NaN,NaN,NaN
90273184,23.0,Saccade,20,0.73088,NaN,NaN,348.00,496.00,255.00,496.00
90296518,193.0,Fixation,19,0.73259,267.00,495.00,NaN,NaN,NaN,NaN
90489854,27.0,Saccade,21,0.73674,NaN,NaN,265.00,494.00,376.00,502.00
90516520,147.0,Fixation,20,0.73833,375.00,504.00,NaN,NaN,NaN,NaN
90663188,27.0,Saccade,22,0.73898,NaN,NaN,374.00,502.00,499.00,506.00
90689856,223.0,Fixation,21,0.73457,498.00,505.00,NaN,NaN,NaN,NaN
90913191,27.0,Saccade,23,0.73213,NaN,NaN,496.00,502.00,620.00,514.00
90939858,155.0,Fixation,22,0.72982,627.00,514.00,NaN,NaN,NaN,NaN
91094860,27.0,Saccade,24,0.72870,NaN,NaN,626.00,512.00,710.00,524.00
91121526,210.0,Fixation,23,0.72629,717.00,523.00,NaN,NaN,NaN,NaN
91331528,25.0,Saccade,25,0.72421,NaN,NaN,716.00,526.00,812.00,528.00
91356528,208.0,Fixation,24,0.71894,811.00,530.00,NaN,NaN,NaN,NaN
91564864,30.0,Saccade,26,0.71743,NaN,NaN,812.00,530.00,908.00,530.00
91594865,173.0,Fixation,25,0.71844,907.00,532.00,NaN,NaN,NaN,NaN
91768199,17.0,Saccade,27,0.72157,NaN,NaN,905.00,531.00,872.00,528.00
91784866,138.0,Fixation,26,0.72304,873.00,529.00,NaN,NaN,NaN,NaN
91923201,25.0,Saccade,28,0.72387,NaN,NaN,872.00,526.00,964.00,536.00
91948201,233.0,Fixation,27,0.72134,964.00,535.00,NaN,NaN,NaN,NaN
92181536,10.0,Saccade,29,0.71784,NaN,NaN,965.00,533.00,983.00,536.00
92191536,107.0,Fixation,28,0.71709,988.00,536.00,NaN,NaN,NaN,NaN
92298205,28.0,Saccade,30,0.71619,NaN,NaN,988.00,538.00,885.00,524.00
92326538,228.0,Fixation,29,0.71260,886.00,529.00,NaN,NaN,NaN,NaN
92554874,18.0,Saccade,31,0.71139,NaN,NaN,888.00,526.00,838.00,528.00
92573207,163.0,Fixation,30,0.71034,845.00,526.00,NaN,NaN,NaN,NaN
92736542,23.0,Saccade,32,0.71239,NaN,NaN,846.00,526.00,923.00,533.00
92759876,260.0,Fixation,31,0.71636,919.00,530.00,NaN,NaN,NaN,NaN
93019868,25.0,Saccade,33,0.71993,NaN,NaN,917.00,530.00,998.00,530.00
93044868,192.0,Fixation,32,0.71729,1003.00,531.00,NaN,NaN,NaN,NaN
93236536,27.0,Saccade,34,0.71474,NaN,NaN,1003.00,533.00,1109.00,529.00
93263203,210.0,Fixation,33,0.71155,1111.00,529.00,NaN,NaN,NaN,NaN
93473205,13.0,Saccade,35,0.71150,NaN,NaN,1110.00,526.00,1161.00,530.00
93489872,13.0,Saccade,36,0.70944,NaN,NaN,1224.00,528.00,1262.00,512.00
93503205,255.0,Fixation,34,0.70719,1264.00,514.00,NaN,NaN,NaN,NaN
93758208,25.0,Saccade,37,0.70807,NaN,NaN,1260.00,512.00,1346.00,512.00
93783208,138.0,Fixation,35,0.70656,1346.00,515.00,NaN,NaN,NaN,NaN
93921543,27.0,Saccade,38,0.70787,NaN,NaN,1342.00,513.00,1432.00,507.00
93948210,185.0,Fixation,36,0.70770,1438.00,509.00,NaN,NaN,NaN,NaN
94133212,17.0,Saccade,39,0.70683,NaN,NaN,1441.00,509.00,1402.00,506.00
94149879,190.0,Fixation,37,0.70135,1400.00,509.00,NaN,NaN,NaN,NaN
94339881,37.0,Saccade,40,0.70120,NaN,NaN,1400.00,511.00,766.00,548.00
94391548,15.0,Saccade,41,0.69947,NaN,NaN,398.00,542.00,314.00,556.00
94406548,158.0,Fixation,38,0.69751,317.00,551.00,NaN,NaN,NaN,NaN
94564884,17.0,Saccade,42,0.69609,NaN,NaN,315.00,549.00,271.00,545.00
94581550,128.0,Fixation,39,0.69750,279.00,544.00,NaN,NaN,NaN,NaN
94709885,27.0,Saccade,43,0.70027,NaN,NaN,280.00,542.00,404.00,552.00
94736552,130.0,Fixation,40,0.69972,409.00,549.00,NaN,NaN,NaN,NaN
94866553,23.0,Saccade,44,0.69775,NaN,NaN,410.00,550.00,482.00,548.00
94889887,220.0,Fixation,41,0.69707,482.00,549.00,NaN,NaN,NaN,NaN
95109890,13.0,Saccade,45,0.70175,NaN,NaN,480.00,547.00,450.00,546.00
95123223,83.0,Fixation,42,0.70388,451.00,545.00,NaN,NaN,NaN,NaN
95206557,28.0,Saccade,46,0.70601,NaN,NaN,450.00,544.00,570.00,550.00
95234891,272.0,Fixation,43,0.71055,569.00,552.00,NaN,NaN,NaN,NaN
95506560,18.0,Saccade,47,0.71650,NaN,NaN,570.00,550.00,526.00,544.00
95578228,28.0,Saccade,48,0.72124,NaN,NaN,530.00,546.00,712.00,556.00
95606561,137.0,Fixation,44,0.72160,707.00,555.00,NaN,NaN,NaN,NaN
95743230,23.0,Saccade,49,0.72268,NaN,NaN,708.00,556.00,634.00,546.00
95766563,163.0,Fixation,45,0.72073,645.00,553.00,NaN,NaN,NaN,NaN
