starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
832010919,47.0,Saccade,1,0.75138,NaN,NaN,954.00,539.00,548.00,377.00
832057586,265.0,Fixation,1,0.64547,566.00,400.00,NaN,NaN,NaN,NaN
832322589,18.0,Saccade,2,0.58250,NaN,NaN,562.00,408.00,550.00,441.00
832392590,35.0,Saccade,3,0.57370,NaN,NaN,552.00,448.00,340.00,423.00
832427590,163.0,Fixation,2,0.56943,354.00,425.00,NaN,NaN,NaN,NaN
832590925,17.0,Saccade,4,0.57145,NaN,NaN,346.00,424.00,322.00,420.00
832607592,125.0,Fixation,3,0.57728,319.00,416.00,NaN,NaN,NaN,NaN
832732593,35.0,Saccade,5,0.58738,NaN,NaN,322.00,415.00,455.00,428.00
832767594,150.0,Fixation,4,0.59908,454.00,426.00,NaN,NaN,NaN,NaN
832917595,28.0,Saccade,6,0.60936,NaN,NaN,452.00,422.00,547.00,438.00
832945929,155.0,Fixation,5,0.61756,553.00,435.00,NaN,NaN,NaN,NaN
833100930,18.0,Saccade,7,0.62564,NaN,NaN,554.00,434.00,587.00,439.00
833119263,95.0,Fixation,6,0.62837,595.00,436.00,NaN,NaN,NaN,NaN
833214264,47.0,Saccade,8,0.63923,NaN,NaN,594.00,432.00,905.00,247.00
833260932,150.0,Fixation,7,0.63978,892.00,251.00,NaN,NaN,NaN,NaN
833410933,27.0,Saccade,9,0.63671,NaN,NaN,888.00,248.00,878.00,335.00
833437601,197.0,Fixation,8,0.63584,880.00,336.00,NaN,NaN,NaN,NaN
833634269,23.0,Saccade,10,0.63970,NaN,NaN,880.00,332.00,819.00,337.00
833657603,198.0,Fixation,9,0.63936,824.00,337.00,NaN,NaN,NaN,NaN
833855938,20.0,Saccade,11,0.63992,NaN,NaN,828.00,338.00,877.00,345.00
833875938,92.0,Fixation,10,0.63941,879.00,337.00,NaN,NaN,NaN,NaN
833967606,47.0,Saccade,12,0.64707,NaN,NaN,879.00,336.00,344.00,492.00
834014273,133.0,Fixation,11,0.64244,360.00,478.00,NaN,NaN,NaN,NaN
834147608,23.0,Saccade,13,0.63892,NaN,NaN,365.00,481.00,292.00,477.00
834170942,205.0,Fixation,12,0.63794,295.00,476.00,NaN,NaN,NaN,NaN
834375944,35.0,Saccade,14,0.63732,NaN,NaN,296.00,476.00,479.00,482.00
834410944,183.0,Fixation,13,0.63194,466.00,484.00,NaN,NaN,NaN,NaN
834594279,32.0,Saccade,15,0.62896,NaN,NaN,466.00,488.00,640.00,507.00
834625946,158.0,Fixation,14,0.62381,634.00,502.00,NaN,NaN,NaN,NaN
834784281,28.0,Saccade,16,0.62544,NaN,NaN,633.00,501.00,544.00,485.00
834812615,145.0,Fixation,15,0.62772,538.00,485.00,NaN,NaN,NaN,NaN
834957617,20.0,Saccade,17,0.63051,NaN,NaN,540.00,480.00,584.00,490.00
834977617,132.0,Fixation,16,0.63599,586.00,493.00,NaN,NaN,NaN,NaN
835109284,38.0,Saccade,18,0.65079,NaN,NaN,582.00,492.00,864.00,530.00
835147619,150.0,Fixation,17,0.65445,858.00,526.00,NaN,NaN,NaN,NaN
835297620,25.0,Saccade,19,0.65292,NaN,NaN,854.00,527.00,947.00,528.00
835322621,122.0,Fixation,18,0.65013,941.00,525.00,NaN,NaN,NaN,NaN
835444288,33.0,Saccade,20,0.65085,NaN,NaN,936.00,526.00,798.00,522.00
835477622,252.0,Fixation,19,0.64990,803.00,520.00,NaN,NaN,NaN,NaN
835729281,43.0,Saccade,21,0.65891,NaN,NaN,808.00,517.00,324.00,554.00
835772610,142.0,Fixation,20,0.66201,343.00,542.00,NaN,NaN,NaN,NaN
835914278,23.0,Saccade,22,0.66700,NaN,NaN,352.00,544.00,288.00,548.00
835937612,195.0,Fixation,21,0.66903,293.00,546.00,NaN,NaN,NaN,NaN
836132614,28.0,Saccade,23,0.66846,NaN,NaN,293.00,546.00,402.00,548.00
836160947,227.0,Fixation,22,0.66166,402.00,548.00,NaN,NaN,NaN,NaN
836387616,37.0,Saccade,24,0.65566,NaN,NaN,402.00,556.00,620.00,552.00
836424282,177.0,Fixation,23,0.65023,612.00,548.00,NaN,NaN,NaN,NaN
836600951,32.0,Saccade,25,0.64826,NaN,NaN,612.00,548.00,746.00,578.00
836632619,157.0,Fixation,24,0.64382,739.00,572.00,NaN,NaN,NaN,NaN
836789285,30.0,Saccade,26,0.64414,NaN,NaN,738.00,573.00,870.00,595.00
836819286,180.0,Fixation,25,0.64082,864.00,591.00,NaN,NaN,NaN,NaN
836999287,32.0,Saccade,27,0.64131,NaN,NaN,862.00,590.00,1010.00,608.00
837030955,162.0,Fixation,26,0.63924,1004.00,610.00,NaN,NaN,NaN,NaN
837192623,28.0,Saccade,28,0.63838,NaN,NaN,1000.00,611.00,1111.00,600.00
837220956,247.0,Fixation,27,0.63706,1109.00,597.00,NaN,NaN,NaN,NaN
837467625,13.0,Saccade,29,0.63831,NaN,NaN,1110.00,592.00,1163.00,598.00
837482626,18.0,Saccade,30,0.63607,NaN,NaN,1210.00,575.00,1300.00,555.00
837500959,210.0,Fixation,28,0.62916,1290.00,555.00,NaN,NaN,NaN,NaN
837710961,33.0,Saccade,31,0.63006,NaN,NaN,1288.00,560.00,1528.00,546.00
837744294,167.0,Fixation,29,0.62919,1508.00,532.00,NaN,NaN,NaN,NaN
837910962,38.0,Saccade,32,0.63476,NaN,NaN,1507.00,529.00,768.00,642.00
837952630,25.0,Saccade,33,0.63093,NaN,NaN,632.00,607.00,311.00,618.00
837980963,12.0,Saccade,34,0.63782,NaN,NaN,326.00,613.00,346.00,607.00
837992630,108.0,Fixation,30,0.62479,356.00,603.00,NaN,NaN,NaN,NaN
838100964,23.0,Saccade,35,0.62710,NaN,NaN,358.00,600.00,291.00,602.00
838124297,150.0,Fixation,31,0.63104,289.00,599.00,NaN,NaN,NaN,NaN
838274299,28.0,Saccade,36,0.63159,NaN,NaN,288.00,601.00,366.00,583.00
838302633,158.0,Fixation,32,0.63199,369.00,586.00,NaN,NaN,NaN,NaN
838460967,32.0,Saccade,37,0.63293,NaN,NaN,366.00,592.00,549.00,606.00
838492634,192.0,Fixation,33,0.62244,549.00,595.00,NaN,NaN,NaN,NaN
838684302,23.0,Saccade,38,0.61841,NaN,NaN,546.00,595.00,615.00,602.00
838707637,352.0,Fixation,34,0.61383,610.00,602.00,NaN,NaN,NaN,NaN
839059305,28.0,Saccade,39,0.61194,NaN,NaN,608.00,600.00,725.00,610.00
839087639,145.0,Fixation,35,0.60790,725.00,611.00,NaN,NaN,NaN,NaN
839232641,32.0,Saccade,40,0.60192,NaN,NaN,724.00,619.00,609.00,600.00
839264307,207.0,Fixation,36,0.60066,611.00,600.00,NaN,NaN,NaN,NaN
839470976,30.0,Saccade,41,0.60768,NaN,NaN,610.00,600.00,738.00,614.00
839500976,205.0,Fixation,37,0.60993,732.00,612.00,NaN,NaN,NaN,NaN
839705978,32.0,Saccade,42,0.61306,NaN,NaN,734.00,608.00,850.00,634.00
839737645,187.0,Fixation,38,0.61104,848.00,630.00,NaN,NaN,NaN,NaN
839924313,35.0,Saccade,43,0.60373,NaN,NaN,851.00,624.00,704.00,605.00
839959314,195.0,Fixation,39,0.59595,714.00,610.00,NaN,NaN,NaN,NaN
840154315,37.0,Saccade,44,0.60131,NaN,NaN,716.00,610.00,948.00,655.00
840190982,180.0,Fixation,40,0.60469,938.00,645.00,NaN,NaN,NaN,NaN
840370984,28.0,Saccade,45,0.60845,NaN,NaN,936.00,642.00,1062.00,646.00
840399317,148.0,Fixation,41,0.60842,1057.00,641.00,NaN,NaN,NaN,NaN
840547653,22.0,Saccade,46,0.60749,NaN,NaN,1062.00,639.00,1006.00,644.00
840569319,168.0,Fixation,42,0.60390,1003.00,645.00,NaN,NaN,NaN,NaN
840737641,35.0,Saccade,47,0.60129,NaN,NaN,1000.00,640.00,1164.00,610.00
840772641,133.0,Fixation,43,0.58867,1158.00,608.00,NaN,NaN,NaN,NaN
840905975,28.0,Saccade,48,0.58540,NaN,NaN,1154.00,606.00,1269.00,596.00
840934309,212.0,Fixation,44,0.58081,1260.00,592.00,NaN,NaN,NaN,NaN
841145978,30.0,Saccade,49,0.58242,NaN,NaN,1259.00,592.00,1414.00,590.00
841179311,7.0,Saccade,50,0.58503,NaN,NaN,1400.00,588.00,1399.00,585.00
841185978,155.0,Fixation,45,0.57917,1388.00,579.00,NaN,NaN,NaN,NaN
841340980,38.0,Saccade,51,0.58206,NaN,NaN,1384.00,577.00,742.00,666.00
841385980,22.0,Saccade,52,0.57843,NaN,NaN,541.00,622.00,314.00,646.00
841412648,10.0,Saccade,53,0.58502,NaN,NaN,332.00,645.00,342.00,635.00
841422648,100.0,Fixation,46,0.57482,352.00,627.00,NaN,NaN,NaN,NaN
841522649,25.0,Saccade,54,0.57631,NaN,NaN,355.00,622.00,268.00,632.00
841547649,183.0,Fixation,47,0.58436,278.00,630.00,NaN,NaN,NaN,NaN
841730984,35.0,Saccade,55,0.59321,NaN,NaN,276.00,632.00,458.00,634.00
841765984,173.0,Fixation,48,0.59556,456.00,626.00,NaN,NaN,NaN,NaN
841939319,33.0,Saccade,56,0.60061,NaN,NaN,452.00,624.00,632.00,636.00
841972653,272.0,Fixation,49,0.59868,633.00,635.00,NaN,NaN,NaN,NaN
842244322,32.0,Saccade,57,0.60378,NaN,NaN,633.00,636.00,705.00,649.00
842275990,237.0,Fixation,50,0.60790,704.00,650.00,NaN,NaN,NaN,NaN
842512659,27.0,Saccade,58,0.60647,NaN,NaN,700.00,650.00,769.00,662.00
842539325,170.0,Fixation,51,0.60874,775.00,658.00,NaN,NaN,NaN,NaN
842709327,30.0,Saccade,59,0.61601,NaN,NaN,776.00,653.00,914.00,680.00
