starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
812648438,23.0,Saccade,1,0.74616,NaN,NaN,956.00,549.00,850.00,550.00
812671772,155.0,Fixation,1,0.68411,864.00,547.00,NaN,NaN,NaN,NaN
812826773,48.0,Saccade,2,0.63720,NaN,NaN,860.00,543.00,477.00,360.00
812875108,142.0,Fixation,2,0.61339,470.00,355.00,NaN,NaN,NaN,NaN
813016775,28.0,Saccade,3,0.60111,NaN,NaN,467.00,352.00,346.00,470.00
813045110,192.0,Fixation,3,0.59357,357.00,460.00,NaN,NaN,NaN,NaN
813236778,42.0,Saccade,4,0.59542,NaN,NaN,352.00,460.00,708.00,460.00
813278445,170.0,Fixation,4,0.59881,713.00,451.00,NaN,NaN,NaN,NaN
813448447,35.0,Saccade,5,0.60009,NaN,NaN,718.00,452.00,478.00,460.00
813483447,280.0,Fixation,5,0.60197,480.00,462.00,NaN,NaN,NaN,NaN
813763450,40.0,Saccade,6,0.60909,NaN,NaN,480.00,463.00,816.00,464.00
813803450,155.0,Fixation,6,0.61150,813.00,459.00,NaN,NaN,NaN,NaN
813958452,20.0,Saccade,7,0.61427,NaN,NaN,812.00,462.00,738.00,450.00
813978452,118.0,Fixation,7,0.61446,752.00,452.00,NaN,NaN,NaN,NaN
814096787,15.0,Saccade,8,0.59542,NaN,NaN,751.00,454.00,758.00,608.00
814221788,23.0,Saccade,9,0.59526,NaN,NaN,677.00,540.00,747.00,448.00
814261788,42.0,Saccade,10,0.62082,NaN,NaN,738.00,448.00,376.00,517.00
814303456,210.0,Fixation,8,0.62764,372.00,513.00,NaN,NaN,NaN,NaN
814513458,18.0,Saccade,11,0.64172,NaN,NaN,376.00,516.00,418.00,550.00
814531783,140.0,Fixation,9,0.64042,402.00,537.00,NaN,NaN,NaN,NaN
814671777,35.0,Saccade,12,0.63753,NaN,NaN,404.00,532.00,690.00,538.00
814706778,307.0,Fixation,10,0.63343,678.00,534.00,NaN,NaN,NaN,NaN
815013448,30.0,Saccade,13,0.63158,NaN,NaN,677.00,534.00,834.00,521.00
815043448,250.0,Fixation,11,0.62830,837.00,523.00,NaN,NaN,NaN,NaN
815293451,30.0,Saccade,14,0.62724,NaN,NaN,836.00,525.00,1016.00,518.00
815323451,253.0,Fixation,12,0.62399,1020.00,524.00,NaN,NaN,NaN,NaN
815576787,42.0,Saccade,15,0.62183,NaN,NaN,1022.00,523.00,1370.00,530.00
815618454,210.0,Fixation,13,0.61959,1361.00,531.00,NaN,NaN,NaN,NaN
815828456,65.0,Saccade,16,0.62286,NaN,NaN,1364.00,525.00,414.00,616.00
815893457,178.0,Fixation,14,0.61933,408.00,620.00,NaN,NaN,NaN,NaN
816071792,18.0,Saccade,17,0.62064,NaN,NaN,405.00,619.00,334.00,655.00
816090126,378.0,Fixation,15,0.63282,361.00,643.00,NaN,NaN,NaN,NaN
816468463,28.0,Saccade,18,0.64506,NaN,NaN,365.00,640.00,564.00,638.00
816496796,295.0,Fixation,16,0.65140,556.00,639.00,NaN,NaN,NaN,NaN
816791799,33.0,Saccade,19,0.65942,NaN,NaN,558.00,641.00,848.00,629.00
816830134,5.0,Saccade,20,0.66055,NaN,NaN,823.00,635.00,808.00,632.00
