starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
844555537,200.0,Fixation,1,0.83324,586.00,477.00,NaN,NaN,NaN,NaN
844755538,47.0,Saccade,1,0.77820,NaN,NaN,587.00,485.00,353.00,200.00
844802205,133.0,Fixation,2,0.75206,352.00,210.00,NaN,NaN,NaN,NaN
844935540,37.0,Saccade,2,0.73157,NaN,NaN,352.00,209.00,304.00,452.00
844972207,170.0,Fixation,3,0.72078,308.00,460.00,NaN,NaN,NaN,NaN
845142209,37.0,Saccade,3,0.72013,NaN,NaN,307.00,456.00,443.00,456.00
845178876,133.0,Fixation,4,0.71991,445.00,454.00,NaN,NaN,NaN,NaN
845312210,37.0,Saccade,4,0.72163,NaN,NaN,445.00,456.00,626.00,454.00
845348878,207.0,Fixation,5,0.71802,632.00,454.00,NaN,NaN,NaN,NaN
845555547,38.0,Saccade,5,0.71124,NaN,NaN,627.00,454.00,806.00,445.00
845593880,207.0,Fixation,6,0.70462,800.00,444.00,NaN,NaN,NaN,NaN
845800549,37.0,Saccade,6,0.70283,NaN,NaN,802.00,444.00,1000.00,428.00
845837216,167.0,Fixation,7,0.69941,1011.00,426.00,NaN,NaN,NaN,NaN
846003885,17.0,Saccade,7,0.69779,NaN,NaN,1011.00,430.00,978.00,428.00
846020552,125.0,Fixation,8,0.69748,977.00,434.00,NaN,NaN,NaN,NaN
846145553,43.0,Saccade,8,0.69890,NaN,NaN,975.00,430.00,1152.00,442.00
846188887,163.0,Fixation,9,0.70584,1150.00,439.00,NaN,NaN,NaN,NaN
846352221,38.0,Saccade,9,0.70497,NaN,NaN,1152.00,441.00,1308.00,436.00
846390555,310.0,Fixation,10,0.69874,1310.00,443.00,NaN,NaN,NaN,NaN
846700559,27.0,Saccade,10,0.69207,NaN,NaN,1308.00,443.00,1370.00,444.00
846727225,100.0,Fixation,11,0.69109,1372.00,445.00,NaN,NaN,NaN,NaN
846827226,30.0,Saccade,11,0.69059,NaN,NaN,1369.00,446.00,1477.00,443.00
846857226,123.0,Fixation,12,0.69030,1476.00,437.00,NaN,NaN,NaN,NaN
846980561,52.0,Saccade,12,0.69315,NaN,NaN,1474.00,432.00,752.00,448.00
847035562,35.0,Saccade,13,0.69519,NaN,NaN,676.00,462.00,378.00,486.00
847070562,135.0,Fixation,13,0.69576,377.00,491.00,NaN,NaN,NaN,NaN
847205564,22.0,Saccade,14,0.69536,NaN,NaN,383.00,492.00,305.00,486.00
847227230,138.0,Fixation,14,0.69509,312.00,496.00,NaN,NaN,NaN,NaN
847365565,42.0,Saccade,15,0.69787,NaN,NaN,310.00,498.00,540.00,497.00
847407232,138.0,Fixation,15,0.69833,549.00,491.00,NaN,NaN,NaN,NaN
847545567,43.0,Saccade,16,0.69928,NaN,NaN,550.00,488.00,739.00,490.00
847588901,217.0,Fixation,16,0.69599,744.00,490.00,NaN,NaN,NaN,NaN
