starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
285876364,18.0,Saccade,1,0.66879,NaN,NaN,944.00,538.00,775.00,536.00
285898031,23.0,Saccade,2,0.66540,NaN,NaN,675.00,528.00,469.00,496.00
285921365,147.0,Fixation,1,0.65438,468.00,490.00,NaN,NaN,NaN,NaN
286068033,35.0,Saccade,3,0.64860,NaN,NaN,465.00,489.00,285.00,434.00
286103034,167.0,Fixation,2,0.64733,297.00,441.00,NaN,NaN,NaN,NaN
286269701,33.0,Saccade,4,0.65160,NaN,NaN,296.00,440.00,509.00,432.00
286303035,145.0,Fixation,3,0.65596,513.00,430.00,NaN,NaN,NaN,NaN
286448037,17.0,Saccade,5,0.65949,NaN,NaN,516.00,431.00,460.00,426.00
286464704,182.0,Fixation,4,0.66346,472.00,425.00,NaN,NaN,NaN,NaN
286646373,33.0,Saccade,6,0.67194,NaN,NaN,474.00,426.00,618.00,260.00
286679706,358.0,Fixation,5,0.68334,630.00,265.00,NaN,NaN,NaN,NaN
287038044,38.0,Saccade,7,0.69497,NaN,NaN,630.00,267.00,904.00,186.00
287076378,305.0,Fixation,6,0.70443,899.00,188.00,NaN,NaN,NaN,NaN
287381382,48.0,Saccade,8,0.71239,NaN,NaN,900.00,192.00,295.00,472.00
287429715,195.0,Fixation,7,0.70678,309.00,463.00,NaN,NaN,NaN,NaN
287624704,15.0,Saccade,9,0.70911,NaN,NaN,312.00,465.00,302.00,504.00
287639705,187.0,Fixation,8,0.71102,307.00,495.00,NaN,NaN,NaN,NaN
287826373,27.0,Saccade,10,0.71149,NaN,NaN,304.00,496.00,428.00,498.00
287853041,243.0,Fixation,9,0.71191,422.00,502.00,NaN,NaN,NaN,NaN
288096377,22.0,Saccade,11,0.71509,NaN,NaN,422.00,506.00,324.00,510.00
288118044,210.0,Fixation,10,0.71544,339.00,509.00,NaN,NaN,NaN,NaN
288328047,23.0,Saccade,12,0.71690,NaN,NaN,337.00,514.00,458.00,512.00
288351380,232.0,Fixation,11,0.71969,442.00,508.00,NaN,NaN,NaN,NaN
288583049,25.0,Saccade,13,0.72397,NaN,NaN,444.00,506.00,559.00,507.00
288608051,285.0,Fixation,12,0.72392,546.00,503.00,NaN,NaN,NaN,NaN
288893054,28.0,Saccade,14,0.72786,NaN,NaN,548.00,504.00,412.00,498.00
288921387,152.0,Fixation,13,0.72797,418.00,496.00,NaN,NaN,NaN,NaN
289073056,22.0,Saccade,15,0.72888,NaN,NaN,418.00,497.00,511.00,504.00
289094722,212.0,Fixation,14,0.73004,492.00,500.00,NaN,NaN,NaN,NaN
