starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
1835116163,165.0,Fixation,1,0.82596,962.00,550.00,NaN,NaN,NaN,NaN
1835281165,25.0,Saccade,1,0.82239,NaN,NaN,964.00,548.00,882.00,562.00
1835407833,55.0,Saccade,2,0.79794,NaN,NaN,175.00,456.00,484.00,357.00
1835461167,210.0,Fixation,2,0.78173,483.00,355.00,NaN,NaN,NaN,NaN
1835671170,27.0,Saccade,3,0.77552,NaN,NaN,487.00,362.00,418.00,452.00
1835697837,183.0,Fixation,3,0.77072,421.00,440.00,NaN,NaN,NaN,NaN
1835881172,22.0,Saccade,4,0.76677,NaN,NaN,420.00,445.00,489.00,458.00
1835902840,120.0,Fixation,4,0.76014,485.00,460.00,NaN,NaN,NaN,NaN
1836022841,28.0,Saccade,5,0.75292,NaN,NaN,482.00,462.00,339.00,470.00
1836051175,287.0,Fixation,5,0.74188,348.00,469.00,NaN,NaN,NaN,NaN
1836337845,32.0,Saccade,6,0.73630,NaN,NaN,346.00,466.00,509.00,479.00
1836369511,188.0,Fixation,6,0.73363,511.00,482.00,NaN,NaN,NaN,NaN
1836557848,25.0,Saccade,7,0.73337,NaN,NaN,515.00,481.00,610.00,481.00
1836582848,307.0,Fixation,7,0.73281,620.00,478.00,NaN,NaN,NaN,NaN
1836889518,53.0,Saccade,8,0.72924,NaN,NaN,630.00,477.00,954.00,222.00
1836942852,385.0,Fixation,8,0.71625,950.00,234.00,NaN,NaN,NaN,NaN
1837327858,55.0,Saccade,9,0.72190,NaN,NaN,947.00,240.00,360.00,520.00
1837382858,525.0,Fixation,9,0.71878,344.00,526.00,NaN,NaN,NaN,NaN
1837907864,30.0,Saccade,10,0.71687,NaN,NaN,322.00,536.00,473.00,542.00
1837937865,263.0,Fixation,10,0.70923,471.00,545.00,NaN,NaN,NaN,NaN
1838201186,18.0,Saccade,11,0.70476,NaN,NaN,472.00,548.00,520.00,542.00
1838219519,362.0,Fixation,11,0.69659,505.00,546.00,NaN,NaN,NaN,NaN
1838581190,25.0,Saccade,12,0.68630,NaN,NaN,492.00,550.00,577.00,542.00
1838606191,117.0,Fixation,12,0.68318,579.00,543.00,NaN,NaN,NaN,NaN
1838722859,27.0,Saccade,13,0.68192,NaN,NaN,580.00,542.00,665.00,542.00
1838749525,177.0,Fixation,13,0.67881,666.00,545.00,NaN,NaN,NaN,NaN
1838926194,20.0,Saccade,14,0.67727,NaN,NaN,672.00,543.00,720.00,542.00
