starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
634130745,48.0,Saccade,1,0.65498,NaN,NaN,957.00,544.00,423.00,506.00
634179078,155.0,Fixation,1,0.64814,431.00,508.00,NaN,NaN,NaN,NaN
634334080,28.0,Saccade,2,0.64661,NaN,NaN,434.00,512.00,307.00,502.00
634362413,110.0,Fixation,2,0.64896,307.00,506.00,NaN,NaN,NaN,NaN
634472415,20.0,Saccade,3,0.65076,NaN,NaN,308.00,507.00,354.00,468.00
634492415,202.0,Fixation,3,0.65242,350.00,467.00,NaN,NaN,NaN,NaN
634694084,22.0,Saccade,4,0.65275,NaN,NaN,351.00,464.00,293.00,526.00
634715751,133.0,Fixation,4,0.65348,306.00,515.00,NaN,NaN,NaN,NaN
634849086,20.0,Saccade,5,0.65397,NaN,NaN,308.00,518.00,380.00,532.00
634869086,175.0,Fixation,5,0.65715,373.00,526.00,NaN,NaN,NaN,NaN
635044088,25.0,Saccade,6,0.65910,NaN,NaN,374.00,525.00,483.00,526.00
635069088,192.0,Fixation,6,0.66150,474.00,528.00,NaN,NaN,NaN,NaN
635260757,27.0,Saccade,7,0.66706,NaN,NaN,476.00,529.00,600.00,528.00
635287423,307.0,Fixation,7,0.66860,587.00,527.00,NaN,NaN,NaN,NaN
635594079,23.0,Saccade,8,0.67018,NaN,NaN,590.00,528.00,502.00,528.00
635617413,165.0,Fixation,8,0.67069,510.00,531.00,NaN,NaN,NaN,NaN
635782414,23.0,Saccade,9,0.67133,NaN,NaN,509.00,532.00,619.00,530.00
635805749,205.0,Fixation,9,0.67490,607.00,526.00,NaN,NaN,NaN,NaN
636010751,25.0,Saccade,10,0.67823,NaN,NaN,608.00,524.00,740.00,524.00
636035751,272.0,Fixation,10,0.67764,735.00,535.00,NaN,NaN,NaN,NaN
636307419,27.0,Saccade,11,0.68081,NaN,NaN,732.00,534.00,924.00,533.00
636334086,265.0,Fixation,11,0.67986,896.00,536.00,NaN,NaN,NaN,NaN
636599089,42.0,Saccade,12,0.68175,NaN,NaN,902.00,534.00,382.00,576.00
636640756,157.0,Fixation,12,0.67557,388.00,577.00,NaN,NaN,NaN,NaN
636797423,23.0,Saccade,13,0.67198,NaN,NaN,388.00,574.00,277.00,594.00
636820757,208.0,Fixation,13,0.67285,295.00,592.00,NaN,NaN,NaN,NaN
637029093,20.0,Saccade,14,0.67521,NaN,NaN,296.00,589.00,370.00,594.00
637049093,173.0,Fixation,14,0.67311,361.00,594.00,NaN,NaN,NaN,NaN
637222427,32.0,Saccade,15,0.67421,NaN,NaN,356.00,592.00,678.00,588.00
637254094,293.0,Fixation,15,0.67047,660.00,583.00,NaN,NaN,NaN,NaN
637547430,22.0,Saccade,16,0.66926,NaN,NaN,662.00,582.00,742.00,591.00
637569097,390.0,Fixation,16,0.66502,725.00,596.00,NaN,NaN,NaN,NaN
637959101,25.0,Saccade,17,0.66338,NaN,NaN,720.00,596.00,822.00,596.00
637984101,142.0,Fixation,17,0.66371,816.00,595.00,NaN,NaN,NaN,NaN
638125769,20.0,Saccade,18,0.66584,NaN,NaN,812.00,596.00,888.00,600.00
638145769,205.0,Fixation,18,0.66847,877.00,600.00,NaN,NaN,NaN,NaN
638350771,28.0,Saccade,19,0.67060,NaN,NaN,878.00,594.00,1036.00,596.00
638379104,230.0,Fixation,19,0.66889,1026.00,594.00,NaN,NaN,NaN,NaN
638609106,20.0,Saccade,20,0.66750,NaN,NaN,1027.00,596.00,962.00,596.00
638629106,210.0,Fixation,20,0.66463,978.00,592.00,NaN,NaN,NaN,NaN
638839108,30.0,Saccade,21,0.66458,NaN,NaN,978.00,590.00,1187.00,588.00
638869108,223.0,Fixation,21,0.66373,1175.00,592.00,NaN,NaN,NaN,NaN
639092443,23.0,Saccade,22,0.66552,NaN,NaN,1180.00,592.00,1274.00,583.00
639115777,237.0,Fixation,22,0.66522,1261.00,584.00,NaN,NaN,NaN,NaN
639352446,23.0,Saccade,23,0.66394,NaN,NaN,1262.00,582.00,1339.00,582.00
639375780,245.0,Fixation,23,0.66664,1321.00,590.00,NaN,NaN,NaN,NaN
639620781,23.0,Saccade,24,0.67043,NaN,NaN,1325.00,590.00,1425.00,588.00
639644115,285.0,Fixation,24,0.67328,1412.00,588.00,NaN,NaN,NaN,NaN
639929118,25.0,Saccade,25,0.67784,NaN,NaN,1412.00,592.00,1538.00,580.00
639954118,153.0,Fixation,25,0.67960,1537.00,581.00,NaN,NaN,NaN,NaN
640107452,67.0,Saccade,26,0.68501,NaN,NaN,1539.00,580.00,426.00,636.00
640174119,132.0,Fixation,26,0.68305,442.00,632.00,NaN,NaN,NaN,NaN
640305788,27.0,Saccade,27,0.68612,NaN,NaN,441.00,628.00,294.00,638.00
640332443,262.0,Fixation,27,0.68719,307.00,642.00,NaN,NaN,NaN,NaN
640594109,22.0,Saccade,28,0.68295,NaN,NaN,306.00,644.00,402.00,634.00
640615776,195.0,Fixation,28,0.67816,383.00,633.00,NaN,NaN,NaN,NaN
640810778,27.0,Saccade,29,0.67542,NaN,NaN,384.00,634.00,534.00,616.00
640837444,263.0,Fixation,29,0.67394,514.00,618.00,NaN,NaN,NaN,NaN
641100781,23.0,Saccade,30,0.67529,NaN,NaN,511.00,617.00,638.00,624.00
641124114,320.0,Fixation,30,0.66870,619.00,625.00,NaN,NaN,NaN,NaN
641444117,25.0,Saccade,31,0.66394,NaN,NaN,618.00,626.00,506.00,622.00
641469118,160.0,Fixation,31,0.66258,520.00,625.00,NaN,NaN,NaN,NaN
641629119,23.0,Saccade,32,0.66297,NaN,NaN,512.00,618.00,648.00,618.00
641652453,212.0,Fixation,32,0.66294,635.00,620.00,NaN,NaN,NaN,NaN
641864122,27.0,Saccade,33,0.66323,NaN,NaN,636.00,616.00,762.00,622.00
641890789,262.0,Fixation,33,0.66593,748.00,621.00,NaN,NaN,NaN,NaN
642152458,37.0,Saccade,34,0.66894,NaN,NaN,747.00,617.00,582.00,616.00
642189125,147.0,Fixation,34,0.66720,579.00,622.00,NaN,NaN,NaN,NaN
642335794,23.0,Saccade,35,0.66978,NaN,NaN,579.00,624.00,473.00,620.00
642359127,162.0,Fixation,35,0.67554,482.00,624.00,NaN,NaN,NaN,NaN
642520796,27.0,Saccade,36,0.68294,NaN,NaN,482.00,620.00,638.00,616.00
642547462,235.0,Fixation,36,0.68843,633.00,624.00,NaN,NaN,NaN,NaN
642782464,23.0,Saccade,37,0.69297,NaN,NaN,636.00,626.00,734.00,637.00
642805799,123.0,Fixation,37,0.69355,728.00,630.00,NaN,NaN,NaN,NaN
