starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
977922021,25.0,Saccade,1,0.84610,NaN,NaN,957.00,552.00,744.00,464.00
977955355,30.0,Saccade,2,0.84565,NaN,NaN,604.00,392.00,360.00,268.00
977985356,237.0,Fixation,1,0.81915,363.00,266.00,NaN,NaN,NaN,NaN
978222007,33.0,Saccade,3,0.80844,NaN,NaN,361.00,269.00,376.00,462.00
978255342,452.0,Fixation,2,0.83072,372.00,463.00,NaN,NaN,NaN,NaN
978707013,28.0,Saccade,4,0.83376,NaN,NaN,370.00,473.00,478.00,486.00
978735348,162.0,Fixation,3,0.82552,488.00,484.00,NaN,NaN,NaN,NaN
978897015,23.0,Saccade,5,0.81626,NaN,NaN,490.00,484.00,560.00,487.00
978920350,173.0,Fixation,4,0.80786,559.00,485.00,NaN,NaN,NaN,NaN
979093685,38.0,Saccade,6,0.79861,NaN,NaN,561.00,484.00,344.00,538.00
979132018,252.0,Fixation,5,0.78269,353.00,538.00,NaN,NaN,NaN,NaN
979383688,28.0,Saccade,7,0.77755,NaN,NaN,350.00,540.00,436.00,542.00
979412022,167.0,Fixation,6,0.77196,442.00,540.00,NaN,NaN,NaN,NaN
979578690,22.0,Saccade,8,0.76440,NaN,NaN,443.00,540.00,498.00,542.00
979600358,145.0,Fixation,7,0.76066,499.00,542.00,NaN,NaN,NaN,NaN
979745359,32.0,Saccade,9,0.75747,NaN,NaN,496.00,540.00,628.00,542.00
979777026,208.0,Fixation,8,0.74992,632.00,543.00,NaN,NaN,NaN,NaN
979985362,20.0,Saccade,10,0.74067,NaN,NaN,635.00,544.00,586.00,544.00
980005363,218.0,Fixation,9,0.73582,590.00,542.00,NaN,NaN,NaN,NaN
980223698,25.0,Saccade,11,0.73371,NaN,NaN,590.00,542.00,657.00,540.00
980248698,157.0,Fixation,10,0.73361,656.00,539.00,NaN,NaN,NaN,NaN
980405367,22.0,Saccade,12,0.73250,NaN,NaN,656.00,537.00,704.00,536.00
980427034,153.0,Fixation,11,0.72938,707.00,536.00,NaN,NaN,NaN,NaN
980580370,28.0,Saccade,13,0.72641,NaN,NaN,707.00,530.00,826.00,532.00
980608704,183.0,Fixation,12,0.71667,822.00,529.00,NaN,NaN,NaN,NaN
980792039,5.0,Saccade,14,0.71092,NaN,NaN,828.00,528.00,835.00,526.00
980797039,73.0,Fixation,13,0.70824,844.00,525.00,NaN,NaN,NaN,NaN
980870374,43.0,Saccade,15,0.70516,NaN,NaN,845.00,525.00,918.00,258.00
980913707,338.0,Fixation,14,0.69895,912.00,264.00,NaN,NaN,NaN,NaN
981252044,20.0,Saccade,16,0.70423,NaN,NaN,912.00,254.00,868.00,297.00
981572048,27.0,Saccade,17,0.74473,NaN,NaN,798.00,352.00,778.00,371.00
981582048,150.0,Fixation,15,0.76926,794.00,368.00,NaN,NaN,NaN,NaN
981732050,37.0,Saccade,18,0.78476,NaN,NaN,791.00,369.00,874.00,120.00
981768717,248.0,Fixation,16,0.76421,873.00,136.00,NaN,NaN,NaN,NaN
982017053,67.0,Saccade,19,0.73605,NaN,NaN,874.00,130.00,334.00,614.00
982083721,162.0,Fixation,17,0.72594,340.00,608.00,NaN,NaN,NaN,NaN
982245390,8.0,Saccade,20,0.72902,NaN,NaN,340.00,610.00,325.00,604.00
982253723,197.0,Fixation,18,0.73530,318.00,602.00,NaN,NaN,NaN,NaN
982450392,37.0,Saccade,21,0.73759,NaN,NaN,317.00,598.00,412.00,594.00
982487059,217.0,Fixation,19,0.73088,416.00,595.00,NaN,NaN,NaN,NaN
982703728,17.0,Saccade,22,0.72498,NaN,NaN,418.00,594.00,376.00,594.00
982720396,543.0,Fixation,20,0.70980,374.00,597.00,NaN,NaN,NaN,NaN
983263721,13.0,Saccade,23,0.70521,NaN,NaN,373.00,603.00,400.00,600.00
983277054,90.0,Fixation,21,0.70660,399.00,599.00,NaN,NaN,NaN,NaN
983367055,27.0,Saccade,24,0.70825,NaN,NaN,398.00,594.00,474.00,596.00
983393722,202.0,Fixation,22,0.71115,479.00,600.00,NaN,NaN,NaN,NaN
983595392,30.0,Saccade,25,0.71233,NaN,NaN,480.00,599.00,557.00,602.00
983625392,262.0,Fixation,23,0.71362,556.00,603.00,NaN,NaN,NaN,NaN
983887061,37.0,Saccade,26,0.71305,NaN,NaN,556.00,606.00,362.00,600.00
983923729,172.0,Fixation,24,0.71102,367.00,600.00,NaN,NaN,NaN,NaN
984095398,18.0,Saccade,27,0.71087,NaN,NaN,364.00,596.00,308.00,598.00
984113731,130.0,Fixation,25,0.71141,320.00,600.00,NaN,NaN,NaN,NaN
984243733,33.0,Saccade,28,0.71489,NaN,NaN,320.00,602.00,494.00,603.00
984277066,218.0,Fixation,26,0.71417,496.00,602.00,NaN,NaN,NaN,NaN
984495402,22.0,Saccade,29,0.71200,NaN,NaN,497.00,601.00,568.00,608.00
984517069,200.0,Fixation,27,0.71446,566.00,606.00,NaN,NaN,NaN,NaN
984717071,22.0,Saccade,30,0.71819,NaN,NaN,570.00,605.00,618.00,606.00
984738738,140.0,Fixation,28,0.71676,621.00,605.00,NaN,NaN,NaN,NaN
984878740,22.0,Saccade,31,0.71337,NaN,NaN,622.00,604.00,562.00,603.00
984900407,462.0,Fixation,29,0.70907,567.00,603.00,NaN,NaN,NaN,NaN
985362079,35.0,Saccade,32,0.71162,NaN,NaN,565.00,600.00,666.00,604.00
