starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
943379738,8.0,Saccade,1,0.80645,NaN,NaN,950.00,540.00,960.00,546.00
943388071,322.0,Fixation,1,0.67808,962.00,553.00,NaN,NaN,NaN,NaN
943709742,47.0,Saccade,2,0.60649,NaN,NaN,965.00,550.00,620.00,540.00
943756408,130.0,Fixation,2,0.59690,625.00,539.00,NaN,NaN,NaN,NaN
943886410,37.0,Saccade,3,0.59392,NaN,NaN,624.00,544.00,418.00,536.00
943923077,333.0,Fixation,3,0.59381,422.00,538.00,NaN,NaN,NaN,NaN
944256414,25.0,Saccade,4,0.60523,NaN,NaN,422.00,537.00,338.00,492.00
944281414,432.0,Fixation,4,0.62511,340.00,495.00,NaN,NaN,NaN,NaN
944713086,15.0,Saccade,5,0.63953,NaN,NaN,343.00,504.00,280.00,558.00
944889755,28.0,Saccade,6,0.68187,NaN,NaN,418.00,617.00,448.00,510.00
944913088,378.0,Fixation,5,0.72729,454.00,510.00,NaN,NaN,NaN,NaN
945291425,47.0,Saccade,7,0.75635,NaN,NaN,453.00,509.00,822.00,489.00
945338093,132.0,Fixation,6,0.75027,802.00,488.00,NaN,NaN,NaN,NaN
945469761,43.0,Saccade,8,0.74097,NaN,NaN,808.00,486.00,928.00,260.00
945513094,195.0,Fixation,7,0.71839,924.00,267.00,NaN,NaN,NaN,NaN
945708097,15.0,Saccade,9,0.70501,NaN,NaN,924.00,262.00,944.00,238.00
945723097,975.0,Fixation,8,0.67206,950.00,239.00,NaN,NaN,NaN,NaN
946698107,27.0,Saccade,10,0.66787,NaN,NaN,952.00,238.00,1048.00,248.00
946724775,387.0,Fixation,9,0.66111,1028.00,243.00,NaN,NaN,NaN,NaN
947111445,25.0,Saccade,11,0.63168,NaN,NaN,1021.00,244.00,898.00,358.00
947269766,113.0,Fixation,10,0.63222,365.00,574.00,NaN,NaN,NaN,NaN
947383101,17.0,Saccade,12,0.64018,NaN,NaN,366.00,578.00,368.00,544.00
947399768,185.0,Fixation,11,0.65140,369.00,549.00,NaN,NaN,NaN,NaN
947584770,32.0,Saccade,13,0.64965,NaN,NaN,368.00,548.00,532.00,549.00
947616436,165.0,Fixation,12,0.63420,531.00,549.00,NaN,NaN,NaN,NaN
947781438,42.0,Saccade,14,0.62228,NaN,NaN,530.00,551.00,824.00,526.00
947823105,187.0,Fixation,13,0.61229,823.00,527.00,NaN,NaN,NaN,NaN
948009774,23.0,Saccade,15,0.60913,NaN,NaN,824.00,528.00,904.00,520.00
948033108,372.0,Fixation,14,0.61093,898.00,521.00,NaN,NaN,NaN,NaN
948404779,30.0,Saccade,16,0.61639,NaN,NaN,894.00,522.00,768.00,530.00
948434779,228.0,Fixation,15,0.61629,765.00,531.00,NaN,NaN,NaN,NaN
948663115,43.0,Saccade,17,0.61779,NaN,NaN,763.00,528.00,440.00,530.00
