starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
517250969,25.0,Saccade,1,0.65334,NaN,NaN,973.00,548.00,761.00,454.00
517289302,17.0,Saccade,2,0.63946,NaN,NaN,573.00,361.00,484.00,323.00
517305970,107.0,Fixation,1,0.62438,486.00,326.00,NaN,NaN,NaN,NaN
517412637,33.0,Saccade,3,0.61604,NaN,NaN,483.00,326.00,365.00,464.00
517445970,147.0,Fixation,2,0.61185,373.00,471.00,NaN,NaN,NaN,NaN
517592638,30.0,Saccade,4,0.61703,NaN,NaN,370.00,473.00,585.00,466.00
517622638,135.0,Fixation,3,0.62802,575.00,467.00,NaN,NaN,NaN,NaN
517759305,33.0,Saccade,5,0.64042,NaN,NaN,576.00,474.00,810.00,460.00
517790973,122.0,Fixation,4,0.64503,801.00,463.00,NaN,NaN,NaN,NaN
517912640,27.0,Saccade,6,0.64579,NaN,NaN,802.00,464.00,954.00,454.00
517939306,180.0,Fixation,5,0.64387,942.00,456.00,NaN,NaN,NaN,NaN
518119307,33.0,Saccade,7,0.64508,NaN,NaN,942.00,454.00,1156.00,460.00
518152642,113.0,Fixation,6,0.64812,1143.00,464.00,NaN,NaN,NaN,NaN
518265976,25.0,Saccade,8,0.65102,NaN,NaN,1144.00,466.00,1262.00,468.00
518290976,80.0,Fixation,7,0.65271,1246.00,471.00,NaN,NaN,NaN,NaN
518370976,35.0,Saccade,9,0.65926,NaN,NaN,1248.00,470.00,756.00,526.00
518417644,13.0,Saccade,10,0.65758,NaN,NaN,520.00,543.00,426.00,551.00
518430977,127.0,Fixation,8,0.66227,442.00,553.00,NaN,NaN,NaN,NaN
518557644,22.0,Saccade,11,0.66874,NaN,NaN,442.00,553.00,348.00,542.00
518579311,122.0,Fixation,9,0.67494,378.00,548.00,NaN,NaN,NaN,NaN
518700979,28.0,Saccade,12,0.68443,NaN,NaN,379.00,553.00,569.00,534.00
518729312,187.0,Fixation,10,0.68723,554.00,540.00,NaN,NaN,NaN,NaN
518915980,28.0,Saccade,13,0.68700,NaN,NaN,555.00,541.00,718.00,534.00
518944313,65.0,Fixation,11,0.68549,700.00,535.00,NaN,NaN,NaN,NaN
519009313,15.0,Saccade,14,0.67121,NaN,NaN,702.00,540.00,659.00,666.00
519125981,37.0,Saccade,15,0.66277,NaN,NaN,886.00,614.00,800.00,530.00
519155981,87.0,Fixation,12,0.68267,801.00,529.00,NaN,NaN,NaN,NaN
519242649,30.0,Saccade,16,0.68598,NaN,NaN,803.00,530.00,587.00,590.00
519272649,120.0,Fixation,13,0.69082,604.00,593.00,NaN,NaN,NaN,NaN
519392649,30.0,Saccade,17,0.69865,NaN,NaN,602.00,596.00,826.00,594.00
519422650,188.0,Fixation,14,0.69149,797.00,596.00,NaN,NaN,NaN,NaN
519610984,28.0,Saccade,18,0.68484,NaN,NaN,798.00,596.00,970.00,594.00
519639317,155.0,Fixation,15,0.68153,952.00,591.00,NaN,NaN,NaN,NaN
519794319,28.0,Saccade,19,0.68119,NaN,NaN,954.00,588.00,1119.00,598.00
519822653,178.0,Fixation,16,0.67825,1106.00,594.00,NaN,NaN,NaN,NaN
520000987,15.0,Saccade,20,0.67888,NaN,NaN,1105.00,595.00,1176.00,597.00
520017654,15.0,Saccade,21,0.67956,NaN,NaN,1217.00,600.00,1295.00,602.00
520032654,132.0,Fixation,17,0.67772,1280.00,606.00,NaN,NaN,NaN,NaN
520164321,23.0,Saccade,22,0.67775,NaN,NaN,1280.00,607.00,1382.00,616.00
520187655,87.0,Fixation,18,0.67622,1363.00,614.00,NaN,NaN,NaN,NaN
520274321,28.0,Saccade,23,0.67740,NaN,NaN,1362.00,615.00,1516.00,618.00
520302656,175.0,Fixation,19,0.67862,1506.00,619.00,NaN,NaN,NaN,NaN
520477657,47.0,Saccade,24,0.68174,NaN,NaN,1506.00,624.00,750.00,614.00
520530990,23.0,Saccade,25,0.67583,NaN,NaN,592.00,619.00,360.00,640.00
520554323,187.0,Fixation,20,0.67203,370.00,643.00,NaN,NaN,NaN,NaN
520740992,25.0,Saccade,26,0.67372,NaN,NaN,364.00,646.00,494.00,641.00
520765992,188.0,Fixation,21,0.67779,476.00,641.00,NaN,NaN,NaN,NaN
520954326,32.0,Saccade,27,0.68363,NaN,NaN,476.00,640.00,727.00,626.00
520985993,193.0,Fixation,22,0.68136,719.00,631.00,NaN,NaN,NaN,NaN
521179327,22.0,Saccade,28,0.68006,NaN,NaN,722.00,632.00,815.00,638.00
521200995,110.0,Fixation,23,0.67915,796.00,637.00,NaN,NaN,NaN,NaN
521310995,28.0,Saccade,29,0.68143,NaN,NaN,798.00,636.00,964.00,632.00
521339328,183.0,Fixation,24,0.67926,953.00,634.00,NaN,NaN,NaN,NaN
521522663,25.0,Saccade,30,0.68000,NaN,NaN,952.00,636.00,1068.00,635.00
521547663,122.0,Fixation,25,0.67704,1061.00,636.00,NaN,NaN,NaN,NaN
521669330,33.0,Saccade,31,0.67546,NaN,NaN,1063.00,638.00,1220.00,644.00
521702664,165.0,Fixation,26,0.67385,1213.00,643.00,NaN,NaN,NaN,NaN
521867665,22.0,Saccade,32,0.67362,NaN,NaN,1214.00,644.00,1284.00,647.00
521889331,145.0,Fixation,27,0.67145,1273.00,648.00,NaN,NaN,NaN,NaN
522034332,30.0,Saccade,33,0.67261,NaN,NaN,1274.00,650.00,1428.00,656.00
522064332,272.0,Fixation,28,0.66827,1405.00,651.00,NaN,NaN,NaN,NaN
522336001,27.0,Saccade,34,0.66650,NaN,NaN,1394.00,646.00,1514.00,654.00
522362668,157.0,Fixation,29,0.66531,1499.00,653.00,NaN,NaN,NaN,NaN
522519335,25.0,Saccade,35,0.66485,NaN,NaN,1497.00,652.00,1610.00,649.00
522544335,183.0,Fixation,30,0.66515,1594.00,655.00,NaN,NaN,NaN,NaN
522727670,50.0,Saccade,36,0.67158,NaN,NaN,1596.00,650.00,768.00,664.00
522789336,22.0,Saccade,37,0.66773,NaN,NaN,542.00,686.00,319.00,720.00
522811004,213.0,Fixation,31,0.67064,333.00,719.00,NaN,NaN,NaN,NaN
523024338,17.0,Saccade,38,0.66953,NaN,NaN,329.00,720.00,380.00,727.00
523041005,117.0,Fixation,32,0.66793,362.00,726.00,NaN,NaN,NaN,NaN
523157672,47.0,Saccade,39,0.66953,NaN,NaN,362.00,728.00,833.00,1306.00
523387674,12.0,Saccade,40,0.72741,NaN,NaN,1288.00,-148.00,1280.00,-144.00
523426007,8.0,Saccade,41,0.73791,NaN,NaN,1344.00,-121.00,1270.00,-152.00
523434340,125.0,Fixation,33,0.74868,1335.00,-140.00,NaN,NaN,NaN,NaN
523586008,223.0,Fixation,34,0.78293,1379.00,-157.00,NaN,NaN,NaN,NaN
523806009,20.0,Saccade,42,0.80426,NaN,NaN,1361.00,-172.00,1348.00,-168.00
523829342,107.0,Fixation,35,0.81193,1367.00,-163.00,NaN,NaN,NaN,NaN
523946010,25.0,Saccade,43,0.81479,NaN,NaN,1340.00,-180.00,1328.00,-175.00
523982677,55.0,Saccade,44,0.75359,NaN,NaN,887.00,1272.00,669.00,624.00
524032677,153.0,Fixation,36,0.76662,667.00,634.00,NaN,NaN,NaN,NaN
524186011,18.0,Saccade,45,0.76328,NaN,NaN,666.00,624.00,599.00,570.00
524209344,8.0,Saccade,46,0.76164,NaN,NaN,632.00,582.00,638.00,598.00
524217678,212.0,Fixation,37,0.72527,630.00,594.00,NaN,NaN,NaN,NaN
524429346,37.0,Saccade,47,0.69473,NaN,NaN,629.00,600.00,916.00,594.00
524466013,233.0,Fixation,38,0.68407,910.00,596.00,NaN,NaN,NaN,NaN
524699347,30.0,Saccade,48,0.67919,NaN,NaN,912.00,600.00,1119.00,604.00
