starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
1150247968,38.0,Saccade,1,0.59122,NaN,NaN,969.00,552.00,770.00,514.00
1150286303,152.0,Fixation,1,0.58342,770.00,524.00,NaN,NaN,NaN,NaN
1150437970,48.0,Saccade,2,0.57816,NaN,NaN,770.00,524.00,506.00,513.00
1150486304,132.0,Fixation,2,0.57126,504.00,510.00,NaN,NaN,NaN,NaN
1150617971,27.0,Saccade,3,0.57114,NaN,NaN,500.00,510.00,390.00,506.00
1150644639,163.0,Fixation,3,0.57441,391.00,508.00,NaN,NaN,NaN,NaN
1150807973,22.0,Saccade,4,0.57706,NaN,NaN,389.00,510.00,359.00,469.00
1150829641,153.0,Fixation,4,0.57737,364.00,470.00,NaN,NaN,NaN,NaN
1150982975,25.0,Saccade,5,0.58065,NaN,NaN,364.00,470.00,456.00,470.00
1151007976,117.0,Fixation,5,0.58183,451.00,469.00,NaN,NaN,NaN,NaN
1151124644,12.0,Saccade,6,0.57100,NaN,NaN,451.00,473.00,449.00,486.00
1151276312,17.0,Saccade,7,0.56538,NaN,NaN,375.00,486.00,443.00,450.00
1151291312,110.0,Fixation,6,0.59256,445.00,457.00,NaN,NaN,NaN,NaN
1151401313,58.0,Saccade,8,0.60703,NaN,NaN,448.00,460.00,935.00,301.00
1151459647,460.0,Fixation,7,0.61641,934.00,292.00,NaN,NaN,NaN,NaN
1151919638,67.0,Saccade,9,0.60368,NaN,NaN,936.00,288.00,433.00,480.00
1151986305,163.0,Fixation,8,0.60698,438.00,478.00,NaN,NaN,NaN,NaN
1152149640,22.0,Saccade,10,0.61286,NaN,NaN,436.00,483.00,385.00,550.00
1152171307,202.0,Fixation,9,0.61373,396.00,535.00,NaN,NaN,NaN,NaN
1152372975,32.0,Saccade,11,0.61520,NaN,NaN,396.00,537.00,578.00,540.00
1152404642,202.0,Fixation,10,0.61452,570.00,540.00,NaN,NaN,NaN,NaN
1152606311,37.0,Saccade,12,0.61530,NaN,NaN,571.00,541.00,804.00,528.00
1152642978,162.0,Fixation,11,0.61026,796.00,527.00,NaN,NaN,NaN,NaN
