starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
626306346,53.0,Saccade,1,0.59718,NaN,NaN,945.00,560.00,400.00,428.00
626359681,120.0,Fixation,1,0.58289,401.00,424.00,NaN,NaN,NaN,NaN
626479682,28.0,Saccade,2,0.57633,NaN,NaN,401.00,422.00,294.00,424.00
626508015,187.0,Fixation,2,0.57561,299.00,430.00,NaN,NaN,NaN,NaN
626694683,32.0,Saccade,3,0.58714,NaN,NaN,300.00,427.00,538.00,430.00
626726349,183.0,Fixation,3,0.59984,552.00,438.00,NaN,NaN,NaN,NaN
626909685,15.0,Saccade,4,0.60734,NaN,NaN,556.00,438.00,516.00,436.00
626924685,120.0,Fixation,4,0.61006,522.00,436.00,NaN,NaN,NaN,NaN
627044686,35.0,Saccade,5,0.61711,NaN,NaN,524.00,438.00,776.00,447.00
627079686,190.0,Fixation,5,0.62078,764.00,449.00,NaN,NaN,NaN,NaN
627269687,45.0,Saccade,6,0.62181,NaN,NaN,770.00,446.00,922.00,444.00
627314687,132.0,Fixation,6,0.62438,916.00,444.00,NaN,NaN,NaN,NaN
627446355,50.0,Saccade,7,0.63339,NaN,NaN,915.00,446.00,404.00,650.00
627496355,142.0,Fixation,7,0.63130,415.00,632.00,NaN,NaN,NaN,NaN
627638022,35.0,Saccade,8,0.63647,NaN,NaN,417.00,636.00,256.00,566.00
627678023,7.0,Saccade,9,0.63875,NaN,NaN,266.00,559.00,290.00,560.00
627684690,142.0,Fixation,8,0.63684,283.00,563.00,NaN,NaN,NaN,NaN
627826357,57.0,Saccade,10,0.63879,NaN,NaN,284.00,564.00,922.00,232.00
627883024,403.0,Fixation,9,0.64033,935.00,245.00,NaN,NaN,NaN,NaN
628286360,58.0,Saccade,11,0.65982,NaN,NaN,938.00,246.00,424.00,560.00
628344694,142.0,Fixation,10,0.65562,425.00,581.00,NaN,NaN,NaN,NaN
628486361,32.0,Saccade,12,0.65715,NaN,NaN,427.00,584.00,254.00,575.00
628526362,7.0,Saccade,13,0.65831,NaN,NaN,264.00,574.00,282.00,582.00
628533029,198.0,Fixation,11,0.65370,274.00,577.00,NaN,NaN,NaN,NaN
628731350,27.0,Saccade,14,0.64389,NaN,NaN,274.00,576.00,374.00,580.00
628758017,197.0,Fixation,12,0.63653,382.00,579.00,NaN,NaN,NaN,NaN
628954685,28.0,Saccade,15,0.63377,NaN,NaN,378.00,574.00,626.00,588.00
628983019,173.0,Fixation,13,0.62987,610.00,585.00,NaN,NaN,NaN,NaN
629156352,25.0,Saccade,16,0.63427,NaN,NaN,611.00,588.00,512.00,573.00
629181353,127.0,Fixation,14,0.63382,530.00,573.00,NaN,NaN,NaN,NaN
629308021,48.0,Saccade,17,0.63661,NaN,NaN,528.00,571.00,1128.00,618.00
629356354,233.0,Fixation,15,0.63680,1104.00,608.00,NaN,NaN,NaN,NaN
629589689,28.0,Saccade,18,0.64058,NaN,NaN,1104.00,608.00,945.00,585.00
629618022,238.0,Fixation,16,0.63666,959.00,588.00,NaN,NaN,NaN,NaN
629856357,27.0,Saccade,19,0.63372,NaN,NaN,958.00,592.00,857.00,585.00
629883024,118.0,Fixation,17,0.63547,869.00,589.00,NaN,NaN,NaN,NaN
630001358,22.0,Saccade,20,0.64320,NaN,NaN,865.00,590.00,1158.00,602.00
630026358,17.0,Saccade,21,0.64286,NaN,NaN,1264.00,600.00,1447.00,590.00
630046358,12.0,Saccade,22,0.64400,NaN,NaN,1430.00,596.00,1386.00,588.00
630058025,132.0,Fixation,18,0.63801,1394.00,590.00,NaN,NaN,NaN,NaN
630189693,25.0,Saccade,23,0.63717,NaN,NaN,1398.00,592.00,1292.00,584.00
630214693,183.0,Fixation,19,0.63351,1301.00,581.00,NaN,NaN,NaN,NaN
630398027,28.0,Saccade,24,0.62918,NaN,NaN,1301.00,580.00,1392.00,582.00
630426360,237.0,Fixation,20,0.62764,1401.00,577.00,NaN,NaN,NaN,NaN
630663029,37.0,Saccade,25,0.63363,NaN,NaN,1401.00,573.00,768.00,600.00
630704696,25.0,Saccade,26,0.63140,NaN,NaN,638.00,594.00,368.00,593.00
630729696,158.0,Fixation,21,0.63294,383.00,603.00,NaN,NaN,NaN,NaN
630888031,25.0,Saccade,27,0.63364,NaN,NaN,388.00,606.00,228.00,622.00
630918031,13.0,Saccade,28,0.63262,NaN,NaN,236.00,622.00,274.00,616.00
630931364,167.0,Fixation,22,0.63435,281.00,617.00,NaN,NaN,NaN,NaN
631098031,38.0,Saccade,29,0.64356,NaN,NaN,278.00,614.00,700.00,626.00
631136365,163.0,Fixation,23,0.63993,698.00,628.00,NaN,NaN,NaN,NaN
631299700,27.0,Saccade,30,0.64084,NaN,NaN,703.00,628.00,598.00,614.00
631326366,172.0,Fixation,24,0.63851,607.00,619.00,NaN,NaN,NaN,NaN
631498034,28.0,Saccade,31,0.63789,NaN,NaN,608.00,619.00,762.00,636.00
631526367,193.0,Fixation,25,0.63204,752.00,631.00,NaN,NaN,NaN,NaN
631719703,22.0,Saccade,32,0.62968,NaN,NaN,752.00,632.00,824.00,624.00
631741369,260.0,Fixation,26,0.62920,821.00,628.00,NaN,NaN,NaN,NaN
632001371,22.0,Saccade,33,0.62746,NaN,NaN,822.00,630.00,749.00,628.00
632023039,275.0,Fixation,27,0.62416,766.00,629.00,NaN,NaN,NaN,NaN
632298041,18.0,Saccade,34,0.62380,NaN,NaN,767.00,632.00,824.00,627.00
632316374,213.0,Fixation,28,0.62383,812.00,628.00,NaN,NaN,NaN,NaN
632529710,10.0,Saccade,35,0.62167,NaN,NaN,815.00,628.00,836.00,630.00
632539710,133.0,Fixation,29,0.62093,839.00,629.00,NaN,NaN,NaN,NaN
632673044,22.0,Saccade,36,0.61993,NaN,NaN,840.00,630.00,930.00,630.00
632694711,260.0,Fixation,30,0.61749,922.00,629.00,NaN,NaN,NaN,NaN
632954714,22.0,Saccade,37,0.62184,NaN,NaN,924.00,628.00,992.00,635.00
632976380,128.0,Fixation,31,0.62315,986.00,631.00,NaN,NaN,NaN,NaN
633104715,25.0,Saccade,38,0.62222,NaN,NaN,986.00,632.00,1075.00,637.00
633131381,185.0,Fixation,32,0.61413,1073.00,634.00,NaN,NaN,NaN,NaN
633314717,23.0,Saccade,39,0.61253,NaN,NaN,1072.00,636.00,1188.00,630.00
633338050,168.0,Fixation,33,0.61025,1174.00,625.00,NaN,NaN,NaN,NaN
633506385,22.0,Saccade,40,0.61081,NaN,NaN,1176.00,624.00,1118.00,632.00
633528052,92.0,Fixation,34,0.60812,1121.00,628.00,NaN,NaN,NaN,NaN
633619720,28.0,Saccade,41,0.60875,NaN,NaN,1118.00,622.00,1292.00,624.00
