starttime,duration,eventType,eventIdx,meanPupilDiameter,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY
288101118,58.0,Saccade,1,0.60379,NaN,NaN,960.00,527.00,400.00,495.00
288159452,127.0,Fixation,1,0.59088,403.00,497.00,NaN,NaN,NaN,NaN
288286120,8.0,Saccade,2,0.58675,NaN,NaN,402.00,495.00,401.00,474.00
288294453,313.0,Fixation,2,0.58408,404.00,470.00,NaN,NaN,NaN,NaN
288607790,20.0,Saccade,3,0.58822,NaN,NaN,408.00,470.00,360.00,444.00
288627791,288.0,Fixation,3,0.59943,356.00,453.00,NaN,NaN,NaN,NaN
288916127,28.0,Saccade,4,0.61565,NaN,NaN,354.00,458.00,494.00,451.00
288944461,255.0,Fixation,4,0.62681,502.00,454.00,NaN,NaN,NaN,NaN
289199464,28.0,Saccade,5,0.63852,NaN,NaN,502.00,454.00,638.00,451.00
289227798,133.0,Fixation,5,0.64342,646.00,456.00,NaN,NaN,NaN,NaN
289361122,28.0,Saccade,6,0.64925,NaN,NaN,651.00,456.00,473.00,451.00
289389455,293.0,Fixation,6,0.65443,483.00,454.00,NaN,NaN,NaN,NaN
289682792,27.0,Saccade,7,0.66286,NaN,NaN,484.00,455.00,614.00,461.00
289709459,198.0,Fixation,7,0.66613,615.00,460.00,NaN,NaN,NaN,NaN
289907794,28.0,Saccade,8,0.66520,NaN,NaN,618.00,457.00,762.00,459.00
289936129,252.0,Fixation,8,0.66149,753.00,458.00,NaN,NaN,NaN,NaN
290187797,23.0,Saccade,9,0.65975,NaN,NaN,751.00,454.00,828.00,446.00
290211131,133.0,Fixation,9,0.65753,822.00,450.00,NaN,NaN,NaN,NaN
290344466,43.0,Saccade,10,0.65707,NaN,NaN,822.00,450.00,364.00,524.00
290387799,228.0,Fixation,10,0.65417,358.00,514.00,NaN,NaN,NaN,NaN
290616135,23.0,Saccade,11,0.65461,NaN,NaN,356.00,508.00,468.00,532.00
290639469,333.0,Fixation,11,0.65596,449.00,536.00,NaN,NaN,NaN,NaN
290972805,22.0,Saccade,12,0.64940,NaN,NaN,452.00,542.00,520.00,619.00
291109473,27.0,Saccade,13,0.62510,NaN,NaN,592.00,651.00,646.00,540.00
291136141,205.0,Fixation,12,0.65857,648.00,537.00,NaN,NaN,NaN,NaN
291341143,27.0,Saccade,14,0.66979,NaN,NaN,648.00,540.00,786.00,530.00
291367809,278.0,Fixation,13,0.66080,775.00,527.00,NaN,NaN,NaN,NaN
